Rank,date,primaryTitle,budget,domestic_gross,world_gross
"4,534","Jun 19, 2015",Dope,"$7,000,000","$17,506,470","$18,190,831"
"5,806","Jun 19, 2015",Mustang,"$1,400,000","$845,464","$5,552,584"
"6,361","Jun 19, 2015",The Overnight,"$200,000","$1,109,808","$1,165,996"
"2,260","Jun 19, 2019",Anna,"$30,000,000","$7,743,794","$32,825,217"
"3,297","Jun 2, 1989",Dead Poets Society,"$16,400,000","$95,860,116","$239,500,000"
"2,732","Jun 2, 1995",The Bridges of Madison County,"$22,000,000","$71,516,617","$175,516,617"
"2,027","Jun 2, 2000",Big Momma's House,"$33,000,000","$117,559,438","$173,559,438"
"1,252","Jun 2, 2006",The Break-Up,"$52,000,000","$118,703,275","$205,727,307"
"3,540","Jun 2, 2006",Banlieue 13,"$15,000,000","$1,200,216","$11,599,903"
"4,144","Jun 2, 2006",Peaceful Warrior,"$10,000,000","$2,893,666","$3,260,179"
"6,518","Jun 2, 2006",The Puffy Chair,"$15,000","$194,523","$195,254"
304,"Jun 2, 2016",Teenage Mutant Ninja Turtles: Out of the Shadows,"$135,000,000.00","$82,051,601.00","$245,328,374.00"
"4,432","Jun 2, 2016",Ma vie de Courgette,"$8,000,000","$309,768","$10,245,743"
107,"Jun 2, 2017",The Mummy,"$195,000,000.00","$80,101,125.00","$409,953,905.00"
"1,799","Jun 2, 2017",Captain Underpants: The First Epic Movie,"$38,000,000","$73,921,000","$126,422,949"
"3,833","Jun 2, 2023",Past Lives,"$12,000,000","$10,950,663","$42,913,181"
"3,763","Jun 20, 1975",Jaws,"$12,000,000","$272,965,550","$483,655,893"
"2,386","Jun 20, 1980",The Blues Brothers,"$27,000,000","$57,229,890","$57,245,279"
"3,032","Jun 20, 1980",Can't Stop the Music,"$20,000,000","$2,000,000","$2,000,000"
"5,022","Jun 20, 1980",The Blue Lagoon,"$4,500,000","$47,923,795","$47,923,795"
353,"Jun 20, 1997",Batman & Robin,"$125,000,000.00","$107,325,195.00","$238,317,814.00"
"1,447","Jun 20, 1997",My Best Friend's Wedding,"$46,000,000","$126,813,153","$298,923,419"
"5,156","Jun 20, 1997",The Last Time I Committed Suicide,"$4,000,000","$12,836","$12,836"
"5,959","Jun 20, 1997",Dream With The Fishes,"$1,000,000","$542,909","$542,909"
294,"Jun 20, 2003",Hulk,"$137,000,000.00","$132,177,234.00","$245,031,679.00"
"2,242","Jun 20, 2003",Alex & Emma,"$30,000,000","$14,208,384","$15,358,583"
"3,848","Jun 20, 2003",From Justin to Kelly,"$12,000,000","$4,922,166","$4,922,166"
"4,304","Jun 20, 2003",The Legend of Suriyothai,"$9,000,000","$454,255","$461,581"
681,"Jun 20, 2008",Get Smart,"$80,000,000.00","$130,319,208.00","$226,739,416.00"
"1,003","Jun 20, 2008",The Love Guru,"$62,000,000","$32,235,793","$40,159,017"
"4,061","Jun 20, 2008",Kit Kittredge: An American Girl,"$10,000,000","$17,657,973","$17,657,973"
"5,479","Jun 20, 2008",Brick Lane,"$2,500,000","$1,094,998","$3,838,486"
925,"Jun 20, 2012",Abraham Lincoln: Vampire Hunter,"$67,500,000","$37,519,139","$137,489,730"
"2,636","Jun 20, 2014",Red Sky,"$25,000,000",$0,"$91,116"
45,"Jun 20, 2017",Transformers: The Last Knight,"$217,000,000.00","$130,168,683.00","$602,893,340.00"
63,"Jun 20, 2019",Toy Story 4,"$200,000,000.00","$434,038,008.00","$1,072,817,964.00"
455,"Jun 20, 2024",Despicable Me 4,"$100,000,000.00","$361,004,205.00","$964,185,070.00"
"5,219","Jun 21, 1972",Frenzy,"$3,500,000","$12,600,000","$12,600,000"
"4,671","Jun 21, 1974",Chinatown,"$6,000,000","$23,169,837","$23,170,994"
"2,400","Jun 21, 1985",Return to Oz,"$27,000,000","$10,618,813","$10,618,813"
"2,583","Jun 21, 1985",Lifeforce,"$25,000,000","$11,603,545","$11,603,545"
477,"Jun 21, 1996",Eraser,"$100,000,000.00","$101,295,562.00","$234,400,000.00"
478,"Jun 21, 1996",The Hunchback of Notre Dame,"$100,000,000.00","$100,138,851.00","$325,500,000.00"
"4,879","Jun 21, 1996",Lone Star,"$5,000,000","$12,961,389","$12,973,948"
"1,564","Jun 21, 2000",Chicken Run,"$42,000,000","$106,793,915","$227,793,915"
450,"Jun 21, 2002",Minority Report,"$102,000,000.00","$132,024,714.00","$358,824,714.00"
677,"Jun 21, 2002",Lilo & Stitch,"$80,000,000.00","$145,771,527.00","$245,799,997.00"
"3,367","Jun 21, 2002",Juwanna Mann,"$15,600,000","$13,571,817","$13,771,817"
"4,771","Jun 21, 2002",Sunshine State,"$5,600,000","$3,064,356","$3,281,898"
"4,211","Jun 21, 2011",You Got Served: Beat The World,"$10,000,000",$0,"$1,230,542"
122,"Jun 21, 2012",Brave,"$185,000,000.00","$237,282,182.00","$554,606,532.00"
"4,589","Jun 21, 2012",Twixt,"$7,000,000","$1,996","$1,270,342"
73,"Jun 21, 2013",Monsters University,"$200,000,000.00","$268,488,329.00","$743,455,810.00"
"5,190","Jun 21, 2013",L’attentat,"$3,750,000","$1,625,707","$3,237,975"
"5,496","Jun 21, 2013",Alien Uprising,"$2,500,000",$0,$0
"6,479","Jun 21, 2013",This Is Martin Bonner,"$42,000",$0,$0
"4,459","Jun 21, 2019",Burn Your Maps,"$8,000,000",$0,$0
"3,612","Jun 22, 1977","New York, New York","$14,000,000","$13,800,000","$13,800,302"
"4,368","Jun 22, 1979",The Muppet Movie,"$8,000,000","$76,657,000","$76,657,000"
"4,374","Jun 22, 1979",Escape from Alcatraz,"$8,000,000","$43,000,000","$43,000,459"
"4,367","Jun 22, 1984",The Karate Kid,"$8,000,000","$90,815,558","$90,858,381"
848,"Jun 22, 1988",Who Framed Roger Rabbit?,"$70,000,000.00","$154,112,492.00","$351,500,000.00"
835,"Jun 22, 2001",Dr. Dolittle 2,"$72,000,000.00","$112,950,721.00","$176,101,721.00"
"1,794","Jun 22, 2001",The Fast and the Furious,"$38,000,000","$144,512,310","$206,458,372"
"1,308","Jun 22, 2005",Herbie: Fully Loaded,"$50,000,000","$66,010,682","$144,110,682"
157,"Jun 22, 2007",Evan Almighty,"$175,000,000.00","$100,289,690.00","$174,131,329.00"
"2,722","Jun 22, 2007",1408,"$22,500,000","$71,985,628","$131,263,370"
"3,503","Jun 22, 2007",A Mighty Heart,"$15,000,000","$9,176,787","$19,153,568"
"4,270","Jun 22, 2007",Sicko,"$9,000,000","$24,538,513","$36,535,837"
"5,123","Jun 22, 2007",You Kill Me,"$4,000,000","$2,426,851","$3,858,964"
"4,106","Jun 22, 2012",Seeking a Friend for the End of the World,"$10,000,000","$7,078,738","$11,766,959"
187,"Jun 22, 2016",Independence Day: Resurgence,"$165,000,000.00","$103,144,286.00","$384,169,424.00"
940,"Jun 22, 2018",Hotel Transylvania 3: Summer Vacation,"$65,000,000","$167,500,092","$527,361,714"
"4,962","Jun 22, 2021",Lansky,"$5,000,000","$61,030","$144,894"
622,"Jun 22, 2022",Elvis,"$85,000,000.00","$151,416,153.00","$279,938,634.00"
"1,875","Jun 23, 1989",Batman,"$35,000,000","$251,188,924","$411,348,924"
"1,260","Jun 23, 2000","Me, Myself & Irene","$51,000,000","$90,570,999","$149,270,999"
"6,402","Jun 23, 2000",The Woman Chaser,"$150,000","$110,719","$110,719"
"2,842","Jun 23, 2004",White Chicks,"$20,000,000","$69,148,997","$111,448,997"
"4,657","Jun 23, 2004",Fahrenheit 9/11,"$6,000,000","$119,114,517","$221,148,959"
657,"Jun 23, 2006",Click,"$82,500,000.00","$137,355,633.00","$237,685,089.00"
"4,157","Jun 23, 2006",Krrish,"$10,000,000","$1,430,721","$32,430,721"
"4,359","Jun 23, 2006",The Wind That Shakes the Barley,"$8,300,000","$1,829,142","$25,670,174"
"5,639","Jun 23, 2006",Say Uncle,"$2,000,000","$5,361","$5,361"
"3,282","Jun 23, 2009",Chasseurs de dragons,"$17,000,000",$0,"$13,446,115"
385,"Jun 23, 2010",Knight and Day,"$117,000,000.00","$76,423,035.00","$258,751,370.00"
78,"Jun 23, 2011",Cars 2,"$200,000,000.00","$191,450,875.00","$560,155,383.00"
"3,481","Jun 23, 2011",One Day,"$15,000,000","$13,843,771","$59,168,692"
"6,206","Jun 23, 2015",Crossroads,"$500,000",$0,$0
"3,668","Jun 23, 2016",The Shallows,"$13,000,000","$55,121,623","$118,763,442"
"4,089","Jun 23, 2017",The Beguiled,"$10,000,000","$10,576,669","$28,039,038"
"4,832","Jun 23, 2017",The Big Sick,"$5,000,000","$42,872,467","$56,868,677"
"5,892","Jun 23, 2017",Estiu 1993,"$1,100,000","$185,903","$2,751,844"
"2,770","Jun 24, 1970",Darling Lili,"$22,000,000","$5,000,000","$5,000,000"
"3,157","Jun 24, 1970",Catch-22,"$18,000,000","$24,911,670","$24,911,670"
"2,777","Jun 24, 1977",Sorcerer,"$21,600,000","$12,000,000","$12,007,464"
"4,035","Jun 24, 1983",Twilight Zone: The Movie,"$10,000,000","$29,500,000","$29,500,000"
"2,721","Jun 24, 1987",Spaceballs,"$22,700,000","$38,119,483","$38,119,483"
998,"Jun 24, 1994",Wyatt Earp,"$63,000,000","$25,052,000","$25,052,000"
309,"Jun 24, 2005",War of the Worlds,"$132,000,000.00","$234,280,354.00","$606,836,535.00"
712,"Jun 24, 2005",Bewitched,"$80,000,000.00","$63,313,159.00","$131,159,306.00"
"3,109","Jun 24, 2005",George A. Romero's Land of the Dead,"$18,975,000","$20,700,082","$47,751,015"
"4,790","Jun 24, 2005",De battre mon coeur s'est arrêté,"$5,500,000","$1,023,424","$8,589,831"
"5,256","Jun 24, 2005",La marche de l'empereur,"$3,400,000","$77,437,223","$133,276,359"
"5,725","Jun 24, 2005",Yes,"$1,700,000","$396,035","$661,221"
"6,102","Jun 24, 2005",Rize,"$700,000","$3,278,611","$4,857,731"
48,"Jun 24, 2009",Transformers: Revenge of the Fallen,"$210,000,000.00","$402,111,870.00","$836,519,699.00"
"3,078","Jun 24, 2011",Bad Teacher,"$19,000,000","$100,292,856","$215,448,997"
"4,152","Jun 24, 2011",A Better Life,"$10,000,000","$1,759,252","$1,884,251"
"5,016","Jun 24, 2011",Le nom des gens,"$4,600,000","$514,237","$9,261,711"
"6,018","Jun 24, 2014",A Fine Step,"$1,000,000",$0,$0
209,"Jun 24, 2015",Terminator: Genisys,"$155,000,000.00","$89,760,956.00","$432,150,894.00"
"1,374","Jun 24, 2016",Free State of Jones,"$50,000,000","$20,810,036","$23,237,252"
"5,344","Jun 24, 2016",Swiss Army Man,"$3,000,000","$4,210,454","$5,837,111"
"5,893","Jun 24, 2020",Summerland,"$1,100,000","$58,434","$1,414,596"
821,"Jun 24, 2022",The Man From Toronto,"$75,000,000.00",$0.00,"$470,000.00"
"4,701","Jun 24, 2022",Marcel the Shell with Shoes On,"$6,000,000","$6,333,703","$7,111,769"
"6,099","Jun 25, 1968",La mariée était en noir,"$747,000","$44,566","$44,756"
"5,060","Jun 25, 1976",Silent Movie,"$4,400,000","$36,145,695","$36,145,695"
"5,425","Jun 25, 1976",The Omen,"$2,800,000","$48,570,885","$48,577,431"
"2,351","Jun 25, 1982",Blade Runner,"$28,000,000","$32,656,328","$39,581,774"
"3,189","Jun 25, 1982",Megaforce,"$18,000,000","$5,675,599","$5,675,599"
"2,100","Jun 25, 1999",Big Daddy,"$30,000,000","$163,479,795","$228,641,283"
840,"Jun 25, 2004",Two Brothers,"$72,000,000.00","$19,176,754.00","$62,176,754.00"
"2,121","Jun 25, 2004",The Notebook,"$30,000,000","$81,001,787","$115,642,436"
"3,482","Jun 25, 2004",De-Lovely,"$15,000,000","$13,337,299","$18,524,496"
773,"Jun 25, 2010",Grown Ups,"$75,000,000.00","$162,001,186.00","$272,222,420.00"
"3,634","Jun 25, 2010",Les herbes folles,"$14,000,000","$403,952","$1,903,952"
"6,269","Jun 25, 2010",Kynodontas,"$323,000","$110,248","$1,373,407"
"5,054","Jun 25, 2013",Hansel & Gretel Get Baked,"$4,500,000",$0,$0
49,"Jun 25, 2014",Transformers: Age of Extinction,"$210,000,000.00","$245,439,076.00","$1,104,054,072.00"
"5,808","Jun 25, 2014",La chambre bleue,"$1,400,000","$260,441","$1,945,420"
914,"Jun 25, 2015",Ted 2,"$68,000,000","$81,476,385","$217,214,143"
"2,872","Jun 25, 2015",Max,"$20,000,000","$42,656,255","$43,658,157"
"5,442","Jun 25, 2015",Sardaar Ji,"$2,700,000",$0,"$8,200,000"
"1,908","Jun 25, 2018",Sicario: Day of the Soldado,"$35,000,000","$50,065,850","$76,346,094"
"5,817","Jun 26, 1936",San Francisco,"$1,300,000","$2,868,000","$5,273,000"
"2,337","Jun 26, 1981",For Your Eyes Only,"$28,000,000","$54,800,000","$195,300,000"
"3,185","Jun 26, 1981",Dragonslayer,"$18,000,000","$6,000,000","$6,000,000"
"3,988","Jun 26, 1981",Stripes,"$10,000,000","$85,300,000","$85,300,000"
"2,164","Jun 26, 1987",Full Metal Jacket,"$30,000,000","$45,015,999","$48,845,082"
842,"Jun 26, 1998",Doctor Dolittle,"$71,500,000.00","$144,156,605.00","$294,156,605.00"
"1,430","Jun 26, 1998",Out of Sight,"$48,000,000","$37,562,568","$77,562,568"
"5,569","Jun 26, 1998",Smoke Signals,"$2,000,000","$6,719,300","$7,756,617"
"5,761","Jun 26, 1998",Buffalo '66,"$1,500,000","$2,380,606","$2,381,227"
"2,374","Jun 26, 2009",My Sister’s Keeper,"$27,500,000","$49,200,230","$96,673,002"
"2,716","Jun 26, 2009",Chéri,"$23,000,000","$2,715,657","$2,715,657"
"3,474","Jun 26, 2009",The Hurt Locker,"$15,000,000","$17,017,811","$49,876,984"
"5,244","Jun 26, 2009",Surveillance,"$3,500,000","$27,349","$1,396,395"
760,"Jun 26, 2013",Despicable Me 2,"$76,000,000.00","$368,065,385.00","$975,216,835.00"
"5,628","Jun 26, 2015",Knock Knock,"$2,000,000","$36,336","$6,328,516"
"5,834","Jun 26, 2015",The Algerian,"$1,300,000",$0,$0
"2,383","Jun 26, 2019",Annabelle Comes Home,"$27,000,000","$74,152,591","$230,779,191"
926,"Jun 26, 2024",A Quiet Place: Day One,"$67,000,000","$138,930,553","$260,945,840"
"5,515","Jun 27, 1944",Bathing Beauty,"$2,361,000","$3,500,000","$3,500,000"
"5,028","Jun 27, 1956",Moby Dick,"$4,500,000","$10,400,000","$10,411,891"
"4,516","Jun 27, 1973",Live and Let Die,"$7,000,000","$35,400,000","$161,800,000"
"4,560","Jun 27, 1986",American Anthem,"$7,000,000","$3,571,624","$3,571,624"
"1,037","Jun 27, 1990",Days of Thunder,"$60,000,000","$82,670,733","$157,670,733"
"4,446","Jun 27, 1991",Akira,"$8,000,000","$19,585","$2,040,664"
686,"Jun 27, 1997",Face/Off,"$80,000,000.00","$112,276,146.00","$241,199,984.00"
"3,316","Jun 27, 2001",Baby Boy,"$16,000,000","$28,734,552","$28,734,552"
371,"Jun 27, 2003",Charlie's Angels: Full Throttle,"$120,000,000.00","$100,814,328.00","$227,163,273.00"
"4,373","Jun 27, 2003",28 Days Later…,"$8,000,000","$45,064,915","$82,784,517"
407,"Jun 27, 2007",Live Free or Die Hard,"$110,000,000.00","$134,529,403.00","$382,288,147.00"
134,"Jun 27, 2008",WALL-E,"$180,000,000.00","$223,808,164.00","$532,508,025.00"
777,"Jun 27, 2008",Wanted,"$75,000,000.00","$134,508,551.00","$342,416,460.00"
43,"Jun 27, 2012",The Amazing Spider-Man,"$220,000,000.00","$262,717,220.00","$758,576,824.00"
525,"Jun 27, 2012",Ice Age: Continental Drift,"$95,000,000.00","$161,321,843.00","$879,765,137.00"
"5,692","Jun 27, 2012",Beasts of the Southern Wild,"$1,800,000","$12,795,746","$23,265,132"
"4,396","Jun 27, 2014",Begin Again,"$8,000,000","$16,170,632","$67,731,796"
"5,397","Jun 27, 2014",They Came Together,"$3,000,000",$0,"$82,780"
136,"Jun 27, 2016",The Legend of Tarzan,"$180,000,000.00","$126,643,061.00","$348,902,025.00"
"3,141","Jun 27, 2018",Uncle Drew,"$18,000,000","$42,469,946","$46,594,261"
190,"Jun 27, 2019",Spider-Man: Far From Home,"$160,000,000.00","$391,362,492.00","$1,132,298,674.00"
"1,355","Jun 27, 2024",Horizon: An American Saga Chapter 1,"$50,000,000","$29,035,702","$31,497,309"
"4,757","Jun 27, 2025",Doktor Dinozavrov (Доктор Динозавров)…,"$5,900,000",$0,$0
"3,391","Jun 28, 1978",Heaven Can Wait,"$15,000,000","$98,800,000","$98,800,000"
"3,217","Jun 28, 1985",Red Sonja,"$17,900,000","$6,905,861","$6,908,640"
"4,012","Jun 28, 1985",St. Elmo’s Fire,"$10,000,000","$37,800,000","$37,800,489"
"4,601","Jun 28, 1985",Pale Rider,"$6,900,000","$41,410,568","$41,410,568"
"2,685","Jun 28, 1991",The Naked Gun 2½: The Smell of Fear,"$23,000,000","$86,930,411","$86,930,411"
"1,170","Jun 28, 1996",The Nutty Professor,"$55,000,000","$128,814,019","$273,814,019"
"1,350","Jun 28, 1996",Striptease,"$50,000,000","$33,109,743","$113,309,743"
411,"Jun 28, 2000",The Patriot,"$110,000,000.00","$113,330,342.00","$215,300,000.00"
"1,278","Jun 28, 2002",Mr. Deeds,"$50,000,000","$126,293,452","$171,269,535"
"4,079","Jun 28, 2002",Hey Arnold! The Movie,"$10,000,000","$13,684,949","$13,684,949"
"6,306","Jun 28, 2002",Lovely and Amazing,"$250,000","$4,210,379","$4,613,482"
34,"Jun 28, 2006",Superman Returns,"$232,000,000.00","$200,120,000.00","$391,081,192.00"
"5,592","Jun 28, 2006",Strangers with Candy,"$2,000,000","$2,072,645","$2,077,844"
"5,942","Jun 28, 2006",Who Killed the Electric Car?,"$1,000,000","$1,678,874","$1,849,392"
"6,320","Jun 28, 2006",The Motel,"$250,000","$51,540","$51,540"
215,"Jun 28, 2007",Transformers,"$151,000,000.00","$319,246,193.00","$708,272,592.00"
"5,249","Jun 28, 2011",2:13,"$3,500,000",$0,$0
"4,507","Jun 28, 2012",Magic Mike,"$7,000,000","$113,721,571","$170,549,753"
255,"Jun 28, 2013",White House Down,"$150,000,000.00","$73,103,784.00","$205,440,387.00"
"1,551","Jun 28, 2013",The Heat,"$43,000,000","$159,581,587","$229,727,774"
"2,717","Jun 28, 2013",Redemption,"$23,000,000","$36,686","$13,593,473"
"6,186","Jun 28, 2013",Detention of the Dead,"$500,000","$1,778","$1,778"
"2,014","Jun 28, 2017",Baby Driver,"$34,000,000","$107,825,862","$226,977,991"
3,"Jun 28, 2023",Indiana Jones and the Dial of Destiny,"$402,300,000.00","$174,480,468.00","$383,963,057.00"
899,"Jun 28, 2023","Ruby Gillman, Teenage Kraken","$70,000,000.00","$15,753,600.00","$46,247,409.00"
"2,086","Jun 29, 1979",Moonraker,"$31,000,000","$70,300,000","$210,300,000"
"3,155","Jun 29, 1984",Conan the Destroyer,"$18,000,000","$26,400,000","$26,400,000"
580,"Jun 29, 2001",Artificial Intelligence: AI,"$90,000,000.00","$78,616,689.00","$235,900,000.00"
"3,569","Jun 29, 2001",Pandaemonium,"$15,000,000",$0,"$1,438"
"3,694","Jun 29, 2001",crazy/beautiful,"$13,000,000","$16,929,123","$19,929,123"
"5,229","Jun 29, 2001",Pootie Tang,"$3,500,000","$3,293,258","$3,293,258"
228,"Jun 29, 2007",Ratatouille,"$150,000,000.00","$206,445,654.00","$626,549,695.00"
"2,247","Jun 29, 2007",Evening,"$30,000,000","$12,406,646","$12,885,574"
"5,685","Jun 29, 2007",Chacun sa nuit,"$1,900,000","$18,435","$139,317"
105,"Jun 29, 2011",Transformers: Dark of the Moon,"$195,000,000.00","$352,390,543.00","$1,123,794,079.00"
"1,268","Jun 29, 2012",Ted,"$50,000,000","$218,665,740","$556,016,627"
"2,845","Jun 29, 2012",Tyler Perry's Madea's Witness Protection,"$20,000,000","$65,653,242","$66,950,887"
"3,336","Jun 29, 2012",People Like Us,"$16,000,000","$12,431,792","$12,617,472"
"4,158","Jun 29, 2012",Killer Joe,"$10,000,000","$1,291,645","$4,659,110"
"3,878","Jun 29, 2018",Woman Walks Ahead,"$12,000,000","$57,528","$627,538"
"3,773","Jun 3, 1983",WarGames,"$12,000,000","$74,433,837","$74,433,837"
"2,480","Jun 3, 1987",The Untouchables,"$25,000,000","$76,270,454","$76,271,995"
"3,121","Jun 3, 1988",Big,"$18,000,000","$114,968,774","$151,665,347"
"1,715","Jun 3, 1994",Renaissance Man,"$40,000,000","$24,172,899","$24,172,899"
604,"Jun 3, 2005",Cinderella Man,"$88,000,000.00","$61,649,911.00","$105,021,488.00"
"2,587","Jun 3, 2005",Lords of Dogtown,"$25,000,000","$11,273,517","$13,424,365"
198,"Jun 3, 2011",X-Men: First Class,"$160,000,000.00","$146,408,305.00","$355,408,305.00"
"5,282","Jun 3, 2011",Beginners,"$3,200,000","$5,790,894","$14,314,407"
"5,682","Jun 3, 2011",Submarine,"$1,900,000","$467,602","$4,581,937"
"5,795","Jun 3, 2011",The Lion of Judah,"$1,500,000",$0,$0
"2,194","Jun 3, 2015",Entourage,"$30,000,000","$32,363,404","$46,438,538"
"2,990","Jun 3, 2016",Popstar: Never Stop Never Stopping,"$20,000,000","$9,496,130","$9,537,120"
"5,243","Jun 3, 2016",Time to Choose,"$3,500,000","$29,233","$29,233"
"6,393","Jun 3, 2016",The Fits,"$170,000","$166,425","$169,242"
"5,350","Jun 30, 1971",Willy Wonka & the Chocolate Factory,"$3,000,000","$4,000,000","$4,065,779"
"5,719","Jun 30, 1972",Conquest of the Planet of the Apes,"$1,700,000","$9,700,000","$9,700,000"
"6,502","Jun 30, 1972",Deep Throat,"$25,000","$45,000,000","$45,000,000"
"5,227","Jun 30, 1985",Day of the Dead,"$3,500,000","$5,804,262","$34,004,262"
"4,667","Jun 30, 1989",Do the Right Thing,"$6,000,000","$26,004,026","$26,051,502"
"1,560","Jun 30, 1993",The Firm,"$42,000,000","$158,340,892","$270,340,892"
648,"Jun 30, 1995",Judge Dredd,"$85,000,000.00","$34,687,912.00","$113,487,912.00"
939,"Jun 30, 1995",Apollo 13,"$65,000,000","$173,772,767","$335,802,271"
155,"Jun 30, 1999",Wild Wild West,"$175,000,000.00","$113,805,681.00","$221,229,335.00"
"2,786","Jun 30, 1999","South Park: Bigger, Longer & Uncut","$21,000,000","$52,037,603","$52,037,603"
364,"Jun 30, 2000",The Perfect Storm,"$120,000,000.00","$182,618,434.00","$328,711,434.00"
763,"Jun 30, 2000",The Adventures of Rocky & Bullwinkle,"$76,000,000.00","$26,000,610.00","$35,129,610.00"
68,"Jun 30, 2004",Spider-Man 2,"$200,000,000.00","$374,715,055.00","$795,888,127.00"
"1,881","Jun 30, 2006",The Devil Wears Prada,"$35,000,000","$124,740,460","$326,073,155"
"6,418","Jun 30, 2006",The Blood of My Brother: A Story of Death in Iraq,"$120,000",$0,$0
"5,247","Jun 30, 2009",The Betrayed,"$3,500,000",$0,$0
911,"Jun 30, 2010",The Twilight Saga: Eclipse,"$68,000,000","$300,531,751","$706,101,755"
"2,627","Jun 30, 2010",Love Ranch,"$25,000,000","$137,885","$146,149"
"2,450","Jun 30, 2015",Viy,"$26,000,000",$0,"$34,246,770"
286,"Jun 30, 2016",The BFG,"$140,000,000.00","$55,483,770.00","$199,646,680.00"
535,"Jun 30, 2016",Ben-Hur,"$95,000,000.00","$26,410,477.00","$91,669,648.00"
"1,711","Jun 30, 2017",The House,"$40,000,000","$25,584,504","$31,192,425"
"5,948","Jun 30, 2017",Visages villages,"$1,000,000","$952,432","$4,013,278"
"4,913","Jun 30, 2021",Zola,"$5,000,000","$4,844,399","$5,170,200"
"3,771","Jun 4, 1982",Star Trek II: The Wrath of Khan,"$12,000,000","$78,912,963","$95,800,000"
"3,968","Jun 4, 1982",Poltergeist,"$10,700,000","$74,706,019","$121,706,019"
"1,211","Jun 4, 1999",Instinct,"$55,000,000","$34,105,207","$34,105,207"
"4,357","Jun 4, 1999",Limbo,"$8,300,000","$2,160,710","$2,598,224"
"4,958","Jun 4, 1999",Desert Blue,"$5,000,000","$99,147","$99,147"
800,"Jun 4, 2010",Killers,"$75,000,000.00","$47,059,963.00","$95,572,749.00"
"1,349","Jun 4, 2010",Marmaduke,"$50,000,000","$33,644,788","$89,895,930"
"1,644","Jun 4, 2010",Get Him to the Greek,"$40,000,000","$61,153,526","$92,994,927"
"2,234","Jun 4, 2010",Splice,"$30,000,000","$17,010,170","$28,542,494"
"3,866","Jun 4, 2010",Ondine,"$12,000,000","$550,472","$557,545"
"3,347","Jun 4, 2014",The Homesman,"$16,000,000","$2,429,989","$8,217,571"
"3,765","Jun 4, 2014",The Fault in Our Stars,"$12,000,000","$124,872,350","$307,166,834"
"4,349","Jun 4, 2014",The Rover,"$8,500,000","$1,109,199","$3,180,252"
"4,000","Jun 4, 2015",Insidious Chapter 3,"$10,000,000","$52,218,558","$120,453,155"
"5,863","Jun 4, 2015",Que Horas Ela Volta?,"$1,200,000","$376,976","$3,249,041"
"1,470","Jun 5, 1992",Patriot Games,"$45,000,000","$83,287,363","$178,100,000"
"1,019","Jun 5, 1998",The Truman Show,"$60,000,000","$125,618,201","$264,118,201"
493,"Jun 5, 2009",Land of the Lost,"$100,000,000.00","$49,438,370.00","$69,548,641.00"
"1,873","Jun 5, 2009",The Hangover,"$35,000,000","$277,322,503","$465,487,583"
"2,802","Jun 5, 2009",Away We Go,"$21,000,000","$9,451,946","$10,108,016"
"3,267","Jun 5, 2009",My Life in Ruins,"$17,000,000","$8,677,425","$20,477,425"
"3,891","Jun 5, 2009",Home,"$12,000,000",$0,$0
268,"Jun 5, 2014",How to Train Your Dragon 2,"$145,000,000.00","$177,002,924.00","$614,586,270.00"
"1,269","Jun 5, 2014",22 Jump Street,"$50,000,000","$191,719,337","$331,333,876"
"5,085","Jun 5, 2014",Boyhood,"$4,000,000","$25,379,975","$57,273,049"
"5,146","Jun 5, 2015",Manglehorn,"$4,000,000","$132,270","$797,439"
"5,253","Jun 5, 2015",Dawn Patrol,"$3,500,000",$0,$0
96,"Jun 5, 2019",Dark Phoenix,"$200,000,000.00","$65,845,974.00","$246,356,895.00"
460,"Jun 5, 2024",Bad Boys: Ride or Die,"$100,000,000.00","$193,573,217.00","$400,526,237.00"
"2,223","Jun 5, 2024",The Watchers,"$30,000,000","$19,071,404","$32,948,900"
"4,787","Jun 6, 1980",Galaxina,"$5,500,000","$4,865,000","$4,865,000"
"3,849","Jun 6, 1986",Invaders from Mars,"$12,000,000","$4,884,663","$4,984,663"
693,"Jun 6, 1997",Con Air,"$80,000,000.00","$101,117,573.00","$224,117,573.00"
761,"Jun 6, 2003",2 Fast 2 Furious,"$76,000,000.00","$127,120,058.00","$236,410,607.00"
"4,783","Jun 6, 2003",Mambo Italiano,"$5,500,000","$9,282,750","$12,399,772"
"2,490","Jun 6, 2006",The Omen,"$25,000,000","$54,607,383","$119,295,584"
315,"Jun 6, 2008",Kung Fu Panda,"$130,000,000.00","$215,434,591.00","$631,910,531.00"
572,"Jun 6, 2008",You Don't Mess With the Zohan,"$90,000,000.00","$100,018,837.00","$202,910,991.00"
"3,187","Jun 6, 2008",Mongol,"$18,000,000","$5,705,761","$27,147,349"
"4,422","Jun 6, 2008",And When Did You Last See Your Father?,"$8,000,000","$1,071,240","$2,476,491"
"5,063","Jun 6, 2014",Anna,"$4,357,373",$0,"$1,200,000"
"5,935","Jun 6, 2014",Obvious Child,"$1,000,000","$3,122,616","$3,324,070"
"6,324","Jun 6, 2014",Test,"$250,000","$18,823","$18,823"
164,"Jun 6, 2018",Jurassic World: Fallen Kingdom,"$170,000,000.00","$417,719,760.00","$1,308,323,302.00"
