Rank,date,primaryTitle,budget,domestic_gross,world_gross
"4,169","Oct 4, 2013",Parkland,"$10,000,000","$641,439","$1,616,353"
"5,721","Oct 4, 2013",Grace Unplugged,"$1,700,000","$2,507,159","$2,507,159"
"6,015","Oct 4, 2013",My Last Day Without You,"$1,000,000",$0,$0
"6,463","Oct 4, 2013",The Dirties,"$55,000",$0,$0
"5,805","Oct 4, 2018",Werk ohne Autor,"$1,400,000","$1,303,747","$9,048,951"
"2,409","Oct 4, 2019",Lucy in the Sky,"$27,000,000","$319,976","$325,943"
"2,131","Oct 4, 2023",The Exorcist: Believer,"$30,000,000","$65,537,395","$136,998,069"
"3,645","Oct 5, 1956",The Ten Commandments,"$13,500,000","$85,400,591","$85,431,454"
"1,472","Oct 5, 2001",Training Day,"$45,000,000","$76,261,036","$104,505,352"
"2,342","Oct 5, 2001",Serendipity,"$28,000,000","$50,255,310","$77,477,297"
"2,699","Oct 5, 2001",Joy Ride,"$23,000,000","$21,973,182","$22,204,890"
"3,819","Oct 5, 2001",Max Keeble's Big Move,"$12,000,000","$17,292,381","$17,292,381"
"5,753","Oct 5, 2005",The Squid and the Whale,"$1,500,000","$7,372,734","$11,191,423"
"1,533","Oct 5, 2007",The Seeker: The Dark is Rising,"$45,000,000","$8,794,452","$31,852,619"
"2,779","Oct 5, 2007",Michael Clayton,"$21,500,000","$49,033,882","$92,987,651"
"3,556","Oct 5, 2007",The Good Night,"$15,000,000","$22,441","$22,441"
"6,177","Oct 5, 2007",Finishing the Game,"$500,000","$52,850","$53,201"
"6,328","Oct 5, 2010",Rust,"$250,000",$0,$0
"5,258","Oct 5, 2011",Margin Call,"$3,400,000","$5,353,586","$20,433,227"
"3,757","Oct 5, 2012",The Paperboy,"$12,500,000","$677,200","$4,027,663"
"4,440","Oct 5, 2012",Wuthering Heights,"$8,000,000","$100,915","$2,721,534"
"4,762","Oct 5, 2012",Trade of Innocents,"$5,800,000","$15,091","$15,091"
"5,294","Oct 5, 2012",Sinister,"$3,000,000","$48,086,903","$87,727,807"
810,"Oct 5, 2016",Inferno,"$75,000,000.00","$34,343,574.00","$219,519,367.00"
"1,473","Oct 5, 2016",The Girl on the Train,"$45,000,000","$75,395,035","$174,278,214"
"4,622","Oct 5, 2017",My Little Pony: The Movie,"$6,500,000","$21,885,107","$61,294,644"
"1,851","Oct 5, 2018",A Star is Born,"$36,000,000","$215,288,866","$431,674,156"
"2,695","Oct 5, 2018",The Hate U Give,"$23,000,000","$29,719,483","$35,067,665"
"5,187","Oct 5, 2018",Hevi reissu,"$3,800,000","$10,153","$21,976"
"1,353","Oct 6, 1995",Assassins,"$50,000,000","$30,306,268","$83,306,268"
"1,166","Oct 6, 2000",Meet the Parents,"$55,000,000","$166,225,040","$330,425,040"
"1,734","Oct 6, 2000",Get Carter,"$40,000,000","$14,967,182","$19,417,182"
"4,147","Oct 6, 2000",Bamboozled,"$10,000,000","$2,185,266","$2,373,937"
"4,895","Oct 6, 2000",Digimon: The Movie,"$5,000,000","$9,628,751","$16,628,751"
"5,031","Oct 6, 2000",Requiem for a Dream,"$4,500,000","$3,635,482","$7,389,233"
"6,238","Oct 6, 2004",Tarnation,"$400,000","$592,014","$1,162,014"
"3,565","Oct 6, 2005",Dungeons & Dragons 2: The Elemental Might,"$15,000,000",$0,"$909,822"
566,"Oct 6, 2006",The Departed,"$90,000,000.00","$132,384,315.00","$289,660,619.00"
"3,309","Oct 6, 2006",The Texas Chainsaw Massacre: The Beginning,"$16,000,000","$39,517,763","$50,517,763"
"3,623","Oct 6, 2006",Little Children,"$14,000,000","$5,463,019","$14,121,177"
"4,039","Oct 6, 2006",Employee of the Month,"$10,000,000","$28,444,855","$38,364,855"
"5,377","Oct 6, 2006",Love's Abiding Joy,"$3,000,000","$252,726","$252,726"
"6,406","Oct 6, 2009",A Charlie Brown Christmas,"$150,000",$0,$0
32,"Oct 6, 2015",Spectre,"$245,000,000.00","$200,074,175.00","$879,077,344.00"
"5,545","Oct 6, 2015",The Timber,"$2,100,000",$0,$0
"5,166","Oct 6, 2017",Brawl in Cell Block 99,"$4,000,000",$0,"$79,208"
"5,573","Oct 6, 2017",The Florida Project,"$2,000,000","$5,904,366","$11,275,645"
743,"Oct 6, 2022",Amsterdam,"$80,000,000.00","$14,947,969.00","$29,400,826.00"
"1,330","Oct 6, 2022","Lyle, Lyle, Crocodile","$50,000,000","$46,888,441","$107,192,068"
"6,305","Oct 6, 2022",Terrifier 2,"$250,000","$10,962,502","$15,691,426"
"3,797","Oct 7, 1960",Spartacus,"$12,000,000","$30,000,000","$60,000,000"
"5,907","Oct 7, 1963",Tom Jones,"$1,000,000","$37,600,000","$37,600,000"
"1,856","Oct 7, 1983",Never Say Never Again,"$36,000,000","$55,500,000","$160,000,000"
"1,486","Oct 7, 1994",The Specialist,"$45,000,000","$57,362,581","$170,362,581"
"2,924","Oct 7, 2005",2 For the Money,"$20,000,000","$22,991,379","$30,491,379"
"4,520","Oct 7, 2005","Good Night, and Good Luck","$7,000,000","$31,501,218","$56,586,901"
"5,883","Oct 7, 2005",Waiting...,"$1,125,000","$16,124,543","$18,673,274"
"5,537","Oct 7, 2008",Jack Brooks: Monster Slayer,"$2,150,000",$0,$0
418,"Oct 7, 2011",Real Steel,"$110,000,000.00","$85,463,309.00","$263,880,341.00"
