Rank,date,primaryTitle_x,budget,domestic_gross,world_gross,title_x,year,name_id,tconst,titleType,primaryTitle_y,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,nconst,writers,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,title_y
67,2017-04-28,Guardians of the Galaxy Vol 2,"$200,000,000.00","$389,813,101.00","$869,087,963.00",guardians of the galaxy vol 2,2017,guardians of the galaxy vol 22017,tt3896198,movie,guardians of the galaxy vol 2,Guardians of the Galaxy Vol. 2,0,2017,\N,136,"Action,Adventure,Comedy",7.6,776034,nm0348181,"nm0348181,nm3966115,nm5037683,nm1921680,nm3053444,nm4160687,nm0498278,nm1293367,nm0456158,nm2757098,nm0317493,nm0314153,nm0562554",James Gunn,1966,\N,"writer,producer,director","tt2015381,tt3896198,tt1333125,tt0439815",guardians of the galaxy vol 2
"2,225",2017-04-28,Baahubali 2: The Conclusion,"$30,000,000","$18,985,794","$263,502,914",baahubali 2 the conclusion,2017,baahubali 2 the conclusion2017,tt4849438,movie,baahubali 2 the conclusion,Bãhubali 2: The Conclusion,0,2017,\N,167,"Action,Drama",8.2,118448,nm1442514,"nm2353436,nm1442514,nm7448575,nm4488268,nm4157919,nm4191232,nm1523325",S.S. Rajamouli,1973,\N,"writer,producer,director","tt4849438,tt8178634,tt2631186,tt2258337",baahubali 2 the conclusion
"3,162",2017-04-28,The Circle,"$18,000,000","$20,497,844","$45,497,689",the circle,2017,the circle2017,tt2943946,movie,the circle,The Circle,0,2017,\N,93,"Drama,Horror,Thriller",4.8,533,nm1354570,"nm3944518,nm1354570",Peter Callow,\N,\N,"director,editor,producer","tt17069040,tt2943946,tt7746622,tt13729976",the circle
"3,162",2017-04-28,The Circle,"$18,000,000","$20,497,844","$45,497,689",the circle,2017,the circle2017,tt4287320,movie,the circle,The Circle,0,2017,\N,110,"Drama,Mystery,Sci-Fi",5.4,101980,nm1242054,"nm1242054,nm1101630",James Ponsoldt,1978,\N,"producer,director,writer","tt1714206,tt4287320,tt3416744,tt2063781",the circle
"4,024",2017-04-28,How to Be a Latin Lover,"$10,000,000","$32,149,404","$62,556,228",how to be a latin lover,2017,how to be a latin lover2017,tt4795124,movie,how to be a latin lover,How to Be a Latin Lover,0,2017,\N,115,"Comedy,Drama",6.0,18133,nm0547800,"nm0951686,nm7409040",Ken Marino,1968,\N,"actor,producer,writer","tt0130421,tt1655460,tt0811106,tt1325113",how to be a latin lover
"4,291",1994-04-29,PCU,"$9,000,000","$4,333,569","$4,333,569",pcu,1994,pcu1994,tt0110759,movie,pcu,PCU,0,1994,\N,79,Comedy,6.5,14775,nm0000952,"nm0498963,nm0672015",Hart Bochner,1956,\N,"actor,director,writer","tt0095016,tt0078902,tt0106364,tt0088206",pcu
"1,103",2005-04-29,XXX: State of the Union,"$60,000,000","$26,873,932","$71,073,932",xxx state of the union,2005,xxx state of the union2005,tt0329774,movie,xxx state of the union,xXx: State of the Union,0,2005,\N,101,"Action,Adventure,Crime",4.5,74325,nm0848414,"nm0929186,nm1334526",Lee Tamahori,1950,\N,"director,assistant_director,sound_department","tt0110729,tt0119051,tt0435705,tt0329774",xxx state of the union
"1,491",2005-04-29,The Hitchhiker's Guide to the Galaxy,"$45,000,000","$51,019,112","$102,746,214",the hitchhiker's guide to the galaxy,2005,the hitchhiker's guide to the galaxy2005,tt0371724,movie,the hitchhiker's guide to the galaxy,The Hitchhiker's Guide to the Galaxy,0,2005,\N,109,"Adventure,Comedy,Sci-Fi",6.7,210444,nm1134029,"nm0010930,nm0456732",Garth Jennings,1972,\N,"director,actor,writer","tt3470600,tt0845046,tt0371724,tt10276792",the hitchhiker's guide to the galaxy
166,2010-04-29,Iron Man 2,"$170,000,000.00","$312,433,331.00","$621,156,389.00",iron man 2,2010,iron man 22010,tt1228705,movie,iron man 2,Iron Man 2,0,2010,\N,124,"Action,Sci-Fi",6.9,884576,nm0269463,"nm0857620,nm0498278,nm1411347,nm1293367,nm0456158",Jon Favreau,1966,\N,"producer,actor,writer","tt2883512,tt0371746,tt0117802,tt8111088",iron man 2
233,2011-04-29,Thor,"$150,000,000.00","$181,030,624.00","$449,326,618.00",thor,2011,thor2011,tt0800369,movie,thor,Thor,0,2011,\N,115,"Action,Fantasy",7.0,915302,nm0000110,"nm1005420,nm0826714,nm0668309,nm0833089,nm0698873,nm0498278,nm1293367,nm0456158",Kenneth Branagh,1960,\N,"actor,producer,director","tt0097499,tt0116477,tt0107616,tt3402236",thor
