date,Movie,budget,domestic_revenue,world_revenue,year,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes
2017-01-20,Un sac de billes,20000000.0,409862.0,14362043.0,2017,,0,2015,\N,Drama,7.2,7
2017-01-20,Un sac de billes,20000000.0,409862.0,14362043.0,2017,,0,2015,\N,Mystery,7.2,7
2017-01-20,The Resurrection of Gavin Stone,2000000.0,2303792.0,2303792.0,2017,The Resurrection of Gavin Stone,0,2017,91,Comedy,6.3,2554
2017-01-20,The Resurrection of Gavin Stone,2000000.0,2303792.0,2303792.0,2017,The Resurrection of Gavin Stone,0,2017,91,Drama,6.3,2554
2017-01-20,The Resurrection of Gavin Stone,2000000.0,2303792.0,2303792.0,2017,The Resurrection of Gavin Stone,0,2017,91,Family,6.3,2554
1953-01-21,Niagara,1250000.0,2500000.0,2500000.0,1953,Niagara,0,1953,92,Film-Noir,7.0,20371
1953-01-21,Niagara,1250000.0,2500000.0,2500000.0,1953,Niagara,0,1953,92,Thriller,7.0,20371
1983-01-21,The Year of Living Dangerously,6000000.0,10278575.0,10278575.0,1983,The Year of Living Dangerously,0,1982,115,Drama,7.1,23325
1983-01-21,The Year of Living Dangerously,6000000.0,10278575.0,10278575.0,1983,The Year of Living Dangerously,0,1982,115,Romance,7.1,23325
1983-01-21,The Year of Living Dangerously,6000000.0,10278575.0,10278575.0,1983,The Year of Living Dangerously,0,1982,115,War,7.1,23325
2000-01-21,Down to You,9000000.0,20035310.0,20035310.0,2000,Down to You,0,2000,91,Comedy,5.0,15871
2000-01-21,Down to You,9000000.0,20035310.0,20035310.0,2000,Down to You,0,2000,91,Drama,5.0,15871
2000-01-21,Down to You,9000000.0,20035310.0,20035310.0,2000,Down to You,0,2000,91,Romance,5.0,15871
2000-01-21,The Boondock Saints,7000000.0,30471.0,411874.0,2000,,0,2015,\N,Action,7.2,7
2000-01-21,The Boondock Saints,7000000.0,30471.0,411874.0,2000,,0,2015,\N,Drama,7.2,7
2000-01-21,The Boondock Saints,7000000.0,30471.0,411874.0,2000,,0,2015,\N,Mystery,7.2,7
2005-01-21,Are We There Yet?,20000000.0,82674398.0,98114471.0,2005,Are We There Yet?,0,2005,95,Adventure,4.8,35076
2005-01-21,Are We There Yet?,20000000.0,82674398.0,98114471.0,2005,Are We There Yet?,0,2005,95,Comedy,4.8,35076
2005-01-21,Are We There Yet?,20000000.0,82674398.0,98114471.0,2005,Are We There Yet?,0,2005,95,Family,4.8,35076
2005-01-21,Gory Gory Hallelujah,425000.0,12604.0,12604.0,2005,Gory Gory Hallelujah,0,2003,96,Comedy,4.1,325
2005-01-21,Gory Gory Hallelujah,425000.0,12604.0,12604.0,2005,Gory Gory Hallelujah,0,2003,96,Fantasy,4.1,325
2005-01-21,Gory Gory Hallelujah,425000.0,12604.0,12604.0,2005,Gory Gory Hallelujah,0,2003,96,Horror,4.1,325
2010-01-21,Shi Yue Wei Cheng,23000000.0,0.0,44195779.0,2010,,0,2015,\N,Action,7.2,7
2010-01-21,Shi Yue Wei Cheng,23000000.0,0.0,44195779.0,2010,,0,2015,\N,Drama,7.2,7
2010-01-21,Shi Yue Wei Cheng,23000000.0,0.0,44195779.0,2010,,0,2015,\N,Mystery,7.2,7
2011-01-21,No Strings Attached,25000000.0,70662220.0,149228078.0,2011,No Strings Attached,0,2011,108,Comedy,6.2,246853
2011-01-21,No Strings Attached,25000000.0,70662220.0,149228078.0,2011,No Strings Attached,0,2011,108,Romance,6.2,246853
2011-01-21,The Company Men,15000000.0,4444612.0,4569967.0,2011,The Company Men,0,2010,104,Drama,6.7,49082
2015-01-21,Mortdecai,60000000.0,7696134.0,37360909.0,2015,Mortdecai,0,2015,107,Action,5.5,77669
2015-01-21,Mortdecai,60000000.0,7696134.0,37360909.0,2015,Mortdecai,0,2015,107,Adventure,5.5,77669
2015-01-21,Mortdecai,60000000.0,7696134.0,37360909.0,2015,Mortdecai,0,2015,107,Comedy,5.5,77669
2015-01-21,Ex Machina,13000000.0,25440971.0,38261299.0,2015,Deus ex Machina,0,2015,47,Comedy,6.4,10
2015-01-21,Ex Machina,13000000.0,25440971.0,38261299.0,2015,Deus ex Machina,0,2015,47,Drama,6.4,10
2016-01-21,Dirty Grandpa,11500000.0,35593113.0,105078449.0,2016,Dirty Grandpa,0,2016,102,Comedy,5.9,135635
2016-01-21,The Boy,10000000.0,35819556.0,68220952.0,2016,The Boy,0,2016,97,Horror,6.0,103953
2016-01-21,The Boy,10000000.0,35819556.0,68220952.0,2016,The Boy,0,2016,97,Mystery,6.0,103953
2016-01-21,The Boy,10000000.0,35819556.0,68220952.0,2016,The Boy,0,2016,97,Thriller,6.0,103953
2016-01-21,Anomalisa,8000000.0,3759286.0,5706168.0,2016,,0,2015,\N,Action,7.2,7
2016-01-21,Anomalisa,8000000.0,3759286.0,5706168.0,2016,,0,2015,\N,Drama,7.2,7
2016-01-21,Anomalisa,8000000.0,3759286.0,5706168.0,2016,,0,2015,\N,Mystery,7.2,7
2016-01-21,Airlift (2016),4400000.0,0.0,9969237.0,2016,,0,2015,\N,Action,7.2,7
2016-01-21,Airlift (2016),4400000.0,0.0,9969237.0,2016,,0,2015,\N,Drama,7.2,7
2016-01-21,Airlift (2016),4400000.0,0.0,9969237.0,2016,,0,2015,\N,Mystery,7.2,7
2022-01-21,The King’s Daughter,40500000.0,1747263.0,2157750.0,2022,The King's Daughter,0,2022,98,Action,5.2,6439
2022-01-21,The King’s Daughter,40500000.0,1747263.0,2157750.0,2022,The King's Daughter,0,2022,98,Adventure,5.2,6439
2022-01-21,The King’s Daughter,40500000.0,1747263.0,2157750.0,2022,The King's Daughter,0,2022,98,Family,5.2,6439
1999-01-22,Gloria,30000000.0,4167493.0,4967493.0,1999,Gloria,0,1999,108,Crime,5.1,6353
1999-01-22,Gloria,30000000.0,4167493.0,4967493.0,1999,Gloria,0,1999,108,Drama,5.1,6353
1999-01-22,Gloria,30000000.0,4167493.0,4967493.0,1999,Gloria,0,1999,108,Thriller,5.1,6353
1999-01-22,Bacheha-Ye aseman,180000.0,933933.0,1628579.0,1999,,0,2015,\N,Action,7.2,7
1999-01-22,Bacheha-Ye aseman,180000.0,933933.0,1628579.0,1999,,0,2015,\N,Drama,7.2,7
1999-01-22,Bacheha-Ye aseman,180000.0,933933.0,1628579.0,1999,,0,2015,\N,Mystery,7.2,7
2010-01-22,Tooth Fairy,48000000.0,60022256.0,112610386.0,2010,Tooth Fairy,0,2010,101,Comedy,5.0,50542
2010-01-22,Tooth Fairy,48000000.0,60022256.0,112610386.0,2010,Tooth Fairy,0,2010,101,Family,5.0,50542
2010-01-22,Tooth Fairy,48000000.0,60022256.0,112610386.0,2010,Tooth Fairy,0,2010,101,Fantasy,5.0,50542
2010-01-22,Extraordinary Measures,31000000.0,12482741.0,15826984.0,2010,Extraordinary Measures,0,2010,106,Drama,6.4,17951
2010-01-22,Legion,26000000.0,40168080.0,67647574.0,2010,Legion,0,2010,100,Action,5.3,113886
2010-01-22,Legion,26000000.0,40168080.0,67647574.0,2010,Legion,0,2010,100,Fantasy,5.3,113886
2010-01-22,Legion,26000000.0,40168080.0,67647574.0,2010,Legion,0,2010,100,Horror,5.3,113886
2010-01-22,La fille du RER,9000000.0,208163.0,208163.0,2010,,0,2015,\N,Action,7.2,7
2010-01-22,La fille du RER,9000000.0,208163.0,208163.0,2010,,0,2015,\N,Drama,7.2,7
2010-01-22,La fille du RER,9000000.0,208163.0,208163.0,2010,,0,2015,\N,Mystery,7.2,7
2010-01-22,To Save a Life,500000.0,3777210.0,3824868.0,2010,To Save a Life,0,2009,120,Drama,6.8,5909
2015-01-22,The Boy Next Door,4000000.0,36006065.0,53401938.0,2015,The Boy Next Door,0,2015,91,Thriller,4.7,46582
2021-01-22,Our Friend,10000000.0,657511.0,714255.0,2021,Our Friend,0,2019,124,Drama,7.3,16082
2021-01-22,Our Friend,10000000.0,657511.0,714255.0,2021,Our Friend,0,2019,124,Romance,7.3,16082
1943-01-23,Casablanca,1039000.0,10462500.0,10567179.0,1943,Casablanca,0,1942,102,Drama,8.5,616399
1943-01-23,Casablanca,1039000.0,10462500.0,10567179.0,1943,Casablanca,0,1942,102,Romance,8.5,616399
1943-01-23,Casablanca,1039000.0,10462500.0,10567179.0,1943,Casablanca,0,1942,102,War,8.5,616399
1998-01-23,Spice World,25000000.0,29342592.0,56042592.0,1998,Spice World,0,1997,93,Comedy,3.7,38223
1998-01-23,Spice World,25000000.0,29342592.0,56042592.0,1998,Spice World,0,1997,93,Family,3.7,38223
1998-01-23,Spice World,25000000.0,29342592.0,56042592.0,1998,Spice World,0,1997,93,Music,3.7,38223
2004-01-23,Win a Date with Tad Hamilton!,24000000.0,16980098.0,17589829.0,2004,Win a Date with Tad Hamilton!,0,2004,95,Comedy,5.6,29776
2004-01-23,Win a Date with Tad Hamilton!,24000000.0,16980098.0,17589829.0,2004,Win a Date with Tad Hamilton!,0,2004,95,Romance,5.6,29776
2004-01-23,The Butterfly Effect,13000000.0,57924679.0,95638592.0,2004,The Butterfly Effect 2,0,2006,92,Drama,4.5,37679
2004-01-23,The Butterfly Effect,13000000.0,57924679.0,95638592.0,2004,The Butterfly Effect 2,0,2006,92,Sci-Fi,4.5,37679
2004-01-23,The Butterfly Effect,13000000.0,57924679.0,95638592.0,2004,The Butterfly Effect 2,0,2006,92,Thriller,4.5,37679
2008-01-23,U2 3D,15000000.0,12898847.0,26170402.0,2008,,0,2015,\N,Action,7.2,7
2008-01-23,U2 3D,15000000.0,12898847.0,26170402.0,2008,,0,2015,\N,Drama,7.2,7
2008-01-23,U2 3D,15000000.0,12898847.0,26170402.0,2008,,0,2015,\N,Mystery,7.2,7
2009-01-23,Inkheart,60000000.0,17303424.0,66655938.0,2009,Inkheart,0,2008,106,Adventure,6.1,83153
2009-01-23,Inkheart,60000000.0,17303424.0,66655938.0,2009,Inkheart,0,2008,106,Family,6.1,83153
2009-01-23,Inkheart,60000000.0,17303424.0,66655938.0,2009,Inkheart,0,2008,106,Fantasy,6.1,83153
2009-01-23,Outlander,50000000.0,166003.0,1250617.0,2009,Outlander,0,2008,115,Action,6.2,79348
2009-01-23,Outlander,50000000.0,166003.0,1250617.0,2009,Outlander,0,2008,115,Adventure,6.2,79348
2009-01-23,Outlander,50000000.0,166003.0,1250617.0,2009,Outlander,0,2008,115,Sci-Fi,6.2,79348
2009-01-23,Underworld 3: Rise of the Lycans,35000000.0,45802315.0,92141886.0,2009,Underworld: Rise of the Lycans,0,2009,92,Action,6.5,169808
2009-01-23,Underworld 3: Rise of the Lycans,35000000.0,45802315.0,92141886.0,2009,Underworld: Rise of the Lycans,0,2009,92,Fantasy,6.5,169808
2009-01-23,Underworld 3: Rise of the Lycans,35000000.0,45802315.0,92141886.0,2009,Underworld: Rise of the Lycans,0,2009,92,Thriller,6.5,169808
2009-01-23,Donkey Punch,750000.0,19367.0,814801.0,2009,Donkey Punch,0,2008,99,Crime,5.2,11665
2009-01-23,Donkey Punch,750000.0,19367.0,814801.0,2009,Donkey Punch,0,2008,99,Drama,5.2,11665
2009-01-23,Donkey Punch,750000.0,19367.0,814801.0,2009,Donkey Punch,0,2008,99,Horror,5.2,11665
2015-01-23,American Heist,10000000.0,0.0,2341218.0,2015,American Heist,0,2014,94,Action,5.0,17757
2015-01-23,American Heist,10000000.0,0.0,2341218.0,2015,American Heist,0,2014,94,Crime,5.0,17757
2015-01-23,American Heist,10000000.0,0.0,2341218.0,2015,American Heist,0,2014,94,Drama,5.0,17757
2015-01-23,Aloft,8000000.0,53086.0,531139.0,2015,,0,2015,\N,Action,7.2,7
2015-01-23,Aloft,8000000.0,53086.0,531139.0,2015,,0,2015,\N,Drama,7.2,7
2015-01-23,Aloft,8000000.0,53086.0,531139.0,2015,,0,2015,\N,Mystery,7.2,7
2015-01-23,Song One,6000000.0,32251.0,437089.0,2015,Song One,0,2014,86,Drama,5.8,10406
2015-01-23,Song One,6000000.0,32251.0,437089.0,2015,Song One,0,2014,86,Music,5.8,10406
2015-01-23,Song One,6000000.0,32251.0,437089.0,2015,Song One,0,2014,86,Romance,5.8,10406
2015-01-23,R100,5500000.0,24956.0,24956.0,2015,,0,2015,\N,Action,7.2,7
2015-01-23,R100,5500000.0,24956.0,24956.0,2015,,0,2015,\N,Drama,7.2,7
2015-01-23,R100,5500000.0,24956.0,24956.0,2015,,0,2015,\N,Mystery,7.2,7
2016-01-23,Kung Fu Panda 3,140000000.0,143528619.0,520189225.0,2016,,0,2015,\N,Action,7.2,7
2016-01-23,Kung Fu Panda 3,140000000.0,143528619.0,520189225.0,2016,,0,2015,\N,Drama,7.2,7
2016-01-23,Kung Fu Panda 3,140000000.0,143528619.0,520189225.0,2016,,0,2015,\N,Mystery,7.2,7
