date,primaryTitle_x,budget,domestic_gross,world_gross,year,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,primaryName,birthYear
2022-04-01,The Unbearable Weight of Massive Talent,"$30,000,000","$20,300,157","$29,116,320",2022,The Unbearable Weight of Massive Talent,0,2022,107,"Action,Comedy,Crime",7.0,161300,Tom Gormican,\N
1952-04-10,Singin' in the Rain,"$2,540,000","$7,200,000","$7,241,009",1952,Singin' in the Rain,0,1952,103,"Comedy,Musical,Romance",8.3,265912,Stanley Donen,1924
1952-04-10,Singin' in the Rain,"$2,540,000","$7,200,000","$7,241,009",1952,Singin' in the Rain,0,1952,103,"Comedy,Musical,Romance",8.3,265912,Gene Kelly,1912
1953-04-10,House of Wax,"$658,000","$23,800,000","$23,800,000",1953,House of Wax,0,1953,88,Horror,7.0,20811,André De Toth,1913
1981-04-10,Nighthawks,"$5,000,000","$14,600,000","$19,600,000",1981,Nighthawks,0,1981,99,"Action,Crime,Thriller",6.3,22229,Bruce Malmuth,1934
1981-04-10,Nighthawks,"$5,000,000","$14,600,000","$19,600,000",1981,Nighthawks,0,1981,99,"Action,Crime,Thriller",6.3,22229,Gary Nelson,1934
1981-04-10,Nighthawks,"$5,000,000","$14,600,000","$19,600,000",1981,Nighthawks,0,1981,99,"Action,Crime,Thriller",6.3,22229,Sylvester Stallone,1946
1981-04-10,The Howling,"$1,000,000","$17,985,000","$17,985,130",1981,The Howling,0,1981,91,Horror,6.5,41184,Joe Dante,1946
1992-04-10,The Player,"$8,000,000","$21,706,101","$28,876,702",1992,The Player,0,1992,124,"Comedy,Crime,Drama",7.5,67061,Robert Altman,1925
1998-04-10,City of Angels,"$55,000,000","$78,750,909","$198,750,909",1998,City of Angels,0,1998,114,"Drama,Fantasy,Romance",6.7,129559,Brad Silberling,1963
2009-04-10,Hannah Montana: The Movie,"$30,000,000","$79,576,189","$169,173,206",2009,Hannah Montana: The Movie,0,2009,102,"Comedy,Drama,Family",4.7,46490,Peter Chelsom,1956
2009-04-10,Dragonball Evolution,"$30,000,000","$9,362,785","$56,511,457",2009,Dragonball Evolution,0,2009,85,"Action,Adventure,Fantasy",2.5,80286,James Wong,\N
2009-04-10,Observe and Report,"$18,000,000","$24,007,324","$27,148,898",2009,Observe and Report,0,2009,86,"Action,Comedy,Crime",5.8,65857,Jody Hill,\N
2009-04-10,Royal Kill,"$350,000",$0,$0,2009,Royal Kill,0,2009,90,"Action,Thriller",2.9,813,Bob Ahmed,\N
2013-04-10,The Act of Killing,"$1,000,000","$486,919","$1,227,316",2013,The Act of Killing,0,2012,117,"Biography,Crime,Documentary",8.2,41480,Joshua Oppenheimer,1974
2013-04-10,The Act of Killing,"$1,000,000","$486,919","$1,227,316",2013,The Act of Killing,0,2012,117,"Biography,Crime,Documentary",8.2,41480,Anonymous,\N
2013-04-10,The Act of Killing,"$1,000,000","$486,919","$1,227,316",2013,The Act of Killing,0,2012,117,"Biography,Crime,Documentary",8.2,41480,Christine Cynn,\N
2015-04-10,Pourquoi j'ai pas mangé mon père,"$42,000,000",$0,"$15,451,663",2015,,0,2015,\N,"Action,Drama,Mystery",7.2,7,G.M. Whiting,2000
2015-04-10,Dragon Nest Warriors' Dawn,"$40,000,000",$0,"$734,423",2015,Long Zhi Gu: Po Xiao Qi Bing,0,2014,88,"Action,Adventure,Animation",6.3,3423,Yuefeng Song,\N
2015-04-10,Paul Blart: Mall Cop 2,"$38,000,000","$71,091,594","$107,453,907",2015,Paul Blart: Mall Cop 2,0,2015,94,"Action,Comedy,Crime",4.4,41968,Andy Fickman,\N
2015-04-10,Broken Horses,"$15,000,000",$0,"$3,471",2015,Broken Horses,0,2015,101,"Action,Crime,Drama",5.7,2358,Vidhu Vinod Chopra,1952
2015-04-10,Dark Places,"$11,900,000","$208,588","$5,685,597",2015,Dark Places,0,2015,113,"Crime,Drama,Mystery",6.2,48438,Gilles Paquet-Brenner,1974
2015-04-10,The Sisterhood of Night,"$1,000,000","$6,870","$6,870",2015,The Sisterhood of Night,0,2014,104,"Drama,Mystery,Thriller",6.1,2273,Caryn Waechter,\N
2019-04-10,Hellboy,"$50,000,000","$21,903,748","$53,956,480",2019,Hellboy,0,2019,120,"Action,Adventure,Fantasy",5.3,102408,Neil Marshall,1970
1986-04-11,The Toxic Avenger,"$475,000",$0,$0,1986,The Toxic Avenger,0,1984,82,"Action,Comedy,Horror",6.2,33142,Michael Herz,1949
1986-04-11,The Toxic Avenger,"$475,000",$0,$0,1986,The Toxic Avenger,0,1984,82,"Action,Comedy,Horror",6.2,33142,Lloyd Kaufman,1945
