Rank,date,primaryTitle_x,budget,domestic_gross,world_gross,year,name_id_x,matched_name,tconst,titleType,primaryTitle_y,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,nconst,writers,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,name_id_y
"4,103",2015-03-27,While We're Young,"$10,000,000","$7,582,065","$17,503,828",2015,While We're Young2015,While We're Young2014,tt1791682,movie,While We're Young,While We're Young,0,2014,\N,97,"Comedy,Drama,Mystery",6.3,54273,nm0000876,"nm0000876,nm0406585,nm0001728",Noah Baumbach,1969,\N,"writer,director,producer","tt7653254,tt0367089,tt6160448,tt1517268",While We're Young2014
173,2019-03-27,Dumbo,"$170,000,000.00","$114,766,307.00","$353,166,307.00",2019,Dumbo2019,Dumbo2019,tt3861390,movie,Dumbo,Dumbo,0,2019,\N,112,"Adventure,Family,Fantasy",6.3,84068,nm0000318,"nm0472567,nm0008673,nm2927785",Tim Burton,1958,\N,"producer,writer,miscellaneous","tt0099487,tt1142977,tt0121164,tt0408236",Dumbo2019
297,2024-03-27,Godzilla x Kong: The New Empire,"$135,000,000.00","$196,350,016.00","$568,721,707.00",2024,Godzilla x Kong: The New Empire2024,Godzilla x Kong: The New Empire2024,tt14539740,movie,Godzilla x Kong: The New Empire,Godzilla x Kong: The New Empire,0,2024,\N,115,"Action,Adventure,Fantasy",6.1,107174,nm1417392,"nm0744429,nm1417392,nm1440023,nm2916300",Adam Wingard,1982,\N,"director,editor,writer","tt2105044,tt1853739,tt2980592,tt14539740",Godzilla x Kong: The New Empire2024
"6,314",1997-03-28,Love and Other Catastrophes,"$250,000","$212,285","$743,216",1997,Love and Other Catastrophes1997,Love and Other Catastrophes1996,tt0116931,movie,Love and Other Catastrophes,Love and Other Catastrophes,0,1996,\N,78,"Comedy,Romance",6.4,2104,nm0188521,"nm0074880,nm0188521,nm0051748,nm0443613",Emma-Kate Croghan,1972,\N,"director,writer","tt0209368,tt0116931,tt0125043,tt0477320",Love and Other Catastrophes1996
651,2003-03-28,The Core,"$85,000,000.00","$31,111,260.00","$74,120,792.00",2003,The Core2003,The Core2003,tt0298814,movie,The Core,The Core,0,2003,\N,135,"Action,Adventure,Sci-Fi",5.5,108793,nm0000750,"nm0493548,nm0736966",Jon Amiel,1948,\N,"director,producer,writer","tt0112722,tt0298814,tt0137494,tt0100822",The Core2003
"1,361",2003-03-28,Basic,"$50,000,000","$26,599,248","$42,598,498",2003,Basic2003,Basic2003,tt0264395,movie,Basic,Basic,0,2003,\N,98,"Crime,Drama,Mystery",6.4,67272,nm0001532,nm0888743,John McTiernan,1951,\N,"director,producer,writer","tt0095016,tt0246894,tt0107362,tt0093773",Basic2003
"1,871",2003-03-28,Head of State,"$35,200,000","$37,788,228","$38,283,765",2003,Head of State2003,Head of State2003,tt0325537,movie,Head of State,Head of State,0,2003,\N,95,Comedy,5.5,21484,nm0001674,"nm0001674,nm0503669",Chris Rock,1965,\N,"producer,actor,writer","tt2784678,tt0398165,tt0325537,tt0351283",Head of State2003
"6,070",2003-03-28,Raising Victor Vargas,"$800,000","$2,073,984","$2,900,578",2003,Raising Victor Vargas2003,Raising Victor Vargas2002,tt0316188,movie,Raising Victor Vargas,Raising Victor Vargas,0,2002,\N,88,"Drama,Romance",7.2,5727,nm0813164,"nm0813164,nm0900284",Peter Sollett,\N,\N,"director,writer,miscellaneous","tt0981227,tt0316188,tt7440726,tt12141112",Raising Victor Vargas2002
"1,888",2008-03-28,21,"$35,000,000","$81,159,365","$159,846,429",2008,212008,212008,tt0478087,movie,21,21,0,2008,\N,123,"Crime,Drama,Thriller",6.8,269690,nm0525659,"nm0826041,nm1615610,nm0583826",Robert Luketic,1973,\N,"director,writer,producer","tt1142988,tt1103153,tt0478087,tt0250494",212008
"1,947",2008-03-28,Superhero Movie,"$35,000,000","$26,638,520","$73,026,302",2008,Superhero Movie2008,Superhero Movie2008,tt0426592,movie,Superhero Movie,Superhero Movie,0,2008,\N,75,"Action,Comedy,Sci-Fi",4.7,77463,nm0563301,nm0563301,Craig Mazin,1971,\N,"writer,producer,actor","tt7366338,tt3581920,tt8879940,tt1160419",Superhero Movie2008
"2,589",2008-03-28,Stop-Loss,"$25,000,000","$10,915,744","$11,229,035",2008,Stop-Loss2008,Stop-Loss2008,tt0489281,movie,Stop-Loss,Stop-Loss,0,2008,\N,112,"Drama,War",6.4,21013,nm0005303,"nm1649645,nm0005303",Kimberly Peirce,1967,\N,"director,producer,writer","tt0171804,tt0489281,tt1939659,tt1845296",Stop-Loss2008
"4,118",2008-03-28,"Run, Fatboy, Run","$10,000,000","$6,003,262","$33,512,260",2008,"Run, Fatboy, Run2008",,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
