Rank,date,primaryTitle_x,budget,domestic_gross,world_gross,year,name_id_x,matched_name,tconst,titleType,primaryTitle_y,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,nconst,writers,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,name_id_y
"5,178",1980-02-29,The Ninth Configuration,"$4,000,000",$0,$0,1980,The Ninth Configuration1980,The Ninth Configuration1980,tt0081237,movie,The Ninth Configuration,The Ninth Configuration,0,1980,\N,118,"Comedy,Drama,Horror",6.8,9276,nm0087861,nm0087861,William Peter Blatty,1928,2017,"writer,actor,director","tt0070047,tt0099528,tt0081237,tt0058586",The Ninth Configuration1980
"1,213",2008-02-29,Semi-Pro,"$55,000,000","$33,479,698","$43,980,363",2008,Semi-Pro2008,Semi-Pro2008,tt0839980,movie,Semi-Pro,Semi-Pro,0,2008,\N,91,"Comedy,Sport",5.8,86910,nm0022768,nm0035905,Kent Alterman,\N,\N,"producer,director,actor","tt0839980,tt0399146,tt0399327,tt0319343",Semi-Pro2008
"1,710",2008-02-29,The Other Boleyn Girl,"$40,000,000","$26,814,957","$78,269,970",2008,The Other Boleyn Girl2008,The Other Boleyn Girl2008,tt0467200,movie,The Other Boleyn Girl,The Other Boleyn Girl,0,2008,\N,115,"Biography,Drama,History",6.7,121339,nm0149491,"nm0604948,nm0339925",Justin Chadwick,1968,\N,"director,actor,producer","tt2304771,tt0790663,tt0442632,tt0491203",The Other Boleyn Girl2008
"5,110",1995-02-03,The Jerky Boys,"$4,000,000","$7,555,256","$7,555,256",1995,The Jerky Boys1995,The Jerky Boys1995,tt0110189,movie,The Jerky Boys,The Jerky Boys,0,1995,\N,82,"Comedy,Crime",4.7,2863,nm0577849,"nm0577849,nm0929186,nm0107322,nm0436379",James Melkonian,1961,\N,"writer,editorial_department,director","tt0098141,tt0089378,tt0110189,tt0111293",The Jerky Boys1995
"3,413",2006-02-03,When a Stranger Calls,"$15,000,000","$47,860,214","$67,215,435",2006,When a Stranger Calls2006,When a Stranger Calls2006,tt0455857,movie,When a Stranger Calls,When a Stranger Calls,0,2006,\N,87,"Horror,Thriller",5.1,49333,nm0922346,"nm0908411,nm0270841,nm0910510",Simon West,1961,\N,"director,producer,actor","tt0146316,tt0144214,tt0118880,tt2231253",When a Stranger Calls2006
"5,954",2010-02-03,Ajami,"$1,000,000","$621,859","$2,721,096",2010,Ajami2010,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"1,726",2012-02-03,Big Miracle,"$40,000,000","$20,157,300","$25,268,680",2012,Big Miracle2012,Big Miracle2012,tt1430615,movie,Big Miracle,Big Miracle,0,2012,\N,107,"Biography,Drama,Romance",6.5,20670,nm0477129,"nm0024856,nm0066764,nm11323314",Ken Kwapis,1957,\N,"director,producer,writer","tt4947608,tt1178665,tt3095080,tt1430615",Big Miracle2012
"3,408",2012-02-03,The Woman in Black,"$15,000,000","$54,333,290","$128,955,898",2012,The Woman in Black2012,The Woman in Black2012,tt1596365,movie,The Woman in Black,The Woman in Black,0,2012,\N,95,"Drama,Fantasy,Horror",6.4,194834,nm1220140,"nm0384702,nm0963359",James Watkins,1978,\N,"director,writer,producer","tt1020530,tt2368619,tt6271042,tt27534307",The Woman in Black2012
"5,705",2012-02-03,Dysfunctional Friends,"$1,800,000",$0,$0,2012,Dysfunctional Friends2012,Dysfunctional Friends2012,tt1653002,movie,Dysfunctional Friends,Dysfunctional Friends,0,2012,\N,111,"Comedy,Drama",5.0,944,nm2092442,nm2092442,Corey Grant,\N,\N,"producer,director,writer","tt8228884,tt10724452,tt25177746,tt1047849",Dysfunctional Friends2012
"6,090",2012-02-03,The Innkeepers,"$750,000","$78,396","$1,011,535",2012,The Innkeepers2012,The Innkeepers2011,tt1594562,movie,The Innkeepers,The Innkeepers,0,2011,\N,101,"Drama,Horror,Mystery",5.5,37939,nm1488800,nm1488800,Ti West,1980,\N,"director,writer,editor","tt18925334,tt13560574,tt1594562,tt1172994",The Innkeepers2011
"5,879",2015-02-03,Bleeding Hearts,"$1,200,000",$0,$0,2015,Bleeding Hearts2015,Bleeding Hearts2015,tt2622294,movie,Bleeding Hearts,Bleeding Hearts,0,2015,\N,100,Horror,3.2,252,nm1906442,"nm0216016,nm0730436",Dylan Bank,\N,\N,"director,editor,cinematographer","tt6714534,tt4308652,tt2375906,tt0455983",Bleeding Hearts2015
"6,334",2015-02-03,UnDivided,"$250,000",$0,$0,2015,UnDivided2015,UnDivided2013,tt3564748,movie,UnDivided,UnDivided,0,2013,\N,66,Documentary,7.4,16,nm6321733,nm0580334,Sam Martin,\N,\N,"director,composer,editor","tt3564748,tt4177394",UnDivided2013
"2,540",2017-02-03,Rings,"$25,000,000","$27,793,018","$82,917,283",2017,Rings2017,Rings2017,tt0498381,movie,Rings,Rings,0,2017,\N,102,"Drama,Horror,Mystery",4.5,43851,nm1279573,"nm0521649,nm1096524,nm0326040,nm0840626",F. Javier Gutiérrez,\N,\N,"director,producer,writer","tt12484918,tt0984155,tt0498381,tt1841642",Rings2017
"3,538",2017-02-03,The Comedian,"$15,000,000","$1,658,706","$1,658,706",2017,The Comedian2017,The Comedian2012,tt1656194,movie,The Comedian,The Comedian,0,2012,\N,79,"Drama,Romance",5.5,369,nm2561244,nm2561244,Tom Shkolnik,\N,\N,"director,writer,editor","tt1656194,tt21955028,tt22020504,tt22010020",The Comedian2012
"5,629",2017-02-03,Growing up Smith,"$2,000,000","$35,312","$35,312",2017,Growing up Smith2017,Growing Up Smith2015,tt1105355,movie,Growing Up Smith,Good Ol' Boy,0,2015,\N,102,"Comedy,Drama,Family",6.7,1477,nm1638157,"nm0631413,nm0703954,nm0369355",Frank Lotito,\N,\N,"director,producer,actor","tt1105355,tt2497980,tt1590960,tt14909354",Growing Up Smith2015
"5,926",2017-02-03,I Am Not Your Negro,"$1,000,000","$7,123,919","$9,617,402",2017,I Am Not Your Negro2017,I Am Not Your Negro2016,tt5804038,movie,I Am Not Your Negro,I Am Not Your Negro,0,2016,\N,93,"Documentary,History",7.9,23840,nm0669704,"nm0049924,nm0669704",Raoul Peck,\N,\N,"director,writer,producer","tt5804038,tt0246765,tt28503626,tt0104775",I Am Not Your Negro2016
511,2021-02-03,Chaos Walking,"$100,000,000.00","$13,287,908.00","$27,072,169.00",2021,Chaos Walking2021,Chaos Walking2021,tt2076822,movie,Chaos Walking,Chaos Walking,0,2021,\N,109,"Action,Adventure,Fantasy",5.7,57677,nm0510731,"nm4710432,nm1755986",Doug Liman,1965,\N,"producer,director,miscellaneous","tt1631867,tt0117802,tt0977855,tt3359350",Chaos Walking2021
261,2022-02-03,Moonfall,"$150,000,000.00","$19,060,660.00","$59,053,195.00",2022,Moonfall2022,Moonfall2022,tt5834426,movie,Moonfall,Moonfall,0,2022,\N,130,"Action,Adventure,Sci-Fi",5.1,103121,nm0000386,"nm0000386,nm0460057,nm3079735",Roland Emmerich,1955,\N,"writer,producer,director","tt0116629,tt0120685,tt0319262,tt1628841",Moonfall2022
"3,997",2022-02-03,jackass forever,"$10,000,000","$57,743,451","$74,789,292",2022,jackass forever2022,Jackass Forever2022,tt11466222,movie,Jackass Forever,Jackass Forever,0,2022,\N,96,"Action,Comedy,Documentary",6.8,52692,nm0871860,"nm0010338,nm0960537,nm2207459,nm1079524,nm1029269,nm0257424,nm9301658,nm1030622,nm4953179,nm1035634,nm1029878,nm9265587,nm0546640,nm0569199,nm1719646,nm0690686,nm7567645,nm0828177,nm1017027,nm0871860,nm1336162,nm4926932,nm10559277",Jeff Tremaine,1966,\N,"writer,producer,director","tt3063516,tt0800325,tt9684220,tt1116184",Jackass Forever2022
"2,347",2023-02-03,80 for Brady,"$28,000,000","$39,448,525","$40,384,027",2023,80 for Brady2023,80 for Brady2023,tt18079362,movie,80 for Brady,80 for Brady,0,2023,\N,98,"Comedy,Drama,Sport",5.9,12185,nm5568803,"nm2873539,nm1054604",Kyle Marvin,\N,\N,"producer,writer,actor","tt8637440,tt18079362,tt3717316,tt12005128",80 for Brady2023
"4,754",1983-02-04,Videodrome,"$5,952,000","$2,120,439","$2,121,939",1983,Videodrome1983,Videodrome1983,tt0086541,movie,Videodrome,Videodrome,0,1983,\N,87,"Horror,Sci-Fi,Thriller",7.2,105813,nm0000343,nm0000343,David Cronenberg,1943,\N,"actor,director,writer","tt0091064,tt0094964,tt0120907,tt0115964",Videodrome1983
"3,774",1994-02-04,Ace Ventura: Pet Detective,"$12,000,000","$72,217,396","$107,217,396",1994,Ace Ventura: Pet Detective1994,Ace Ventura: Pet Detective1994,tt0109040,movie,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,0,1994,\N,86,Comedy,6.9,332038,nm0001723,"nm0077062,nm0001723,nm0000120",Tom Shadyac,1958,\N,"producer,director,actor","tt0117218,tt0259288,tt1741225,tt0109040",Ace Ventura: Pet Detective1994
"4,139",1994-02-04,Romeo Is Bleeding,"$10,000,000","$3,275,585","$3,275,585",1994,Romeo Is Bleeding1994,Romeo Is Bleeding1993,tt0107983,movie,Romeo Is Bleeding,Romeo Is Bleeding,0,1993,\N,110,"Crime,Drama,Romance",6.5,15472,nm0575389,nm0377088,Peter Medak,1937,\N,"director,producer,assistant_director","tt0080516,tt0120841,tt0099951,tt0069198",Romeo Is Bleeding1993
"1,618",2000-02-04,Scream 3,"$40,000,000","$89,138,076","$161,838,076",2000,Scream 32000,Scream 32000,tt0134084,movie,Scream 3,Scream 3,0,2000,\N,116,"Horror,Mystery",5.7,168630,nm0000127,"nm0932078,nm0472567",Wes Craven,1939,2015,"writer,producer,director","tt0087800,tt0117571,tt0111686,tt0105121",Scream 32000
"4,154",2000-02-04,Gun Shy,"$10,000,000","$1,638,202","$1,638,202",2000,Gun Shy2000,Gun Shy2000,tt0171356,movie,Gun Shy,Gun Shy,0,2000,\N,101,"Comedy,Crime,Romance",5.6,7937,nm0086826,nm0086826,Eric Blakeney,1959,\N,"writer,producer,miscellaneous","tt0092484,tt0092312,tt0171356,tt0116401",Gun Shy2000
"4,811",2000-02-04,A Room for Romeo Brass,"$5,250,000","$20,097","$148,544",2000,A Room for Romeo Brass2000,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"2,867",2005-02-04,Boogeyman,"$20,000,000","$46,752,382","$67,192,859",2005,Boogeyman2005,Boogeyman2005,tt0357507,movie,Boogeyman,Boogeyman,0,2005,\N,89,"Drama,Horror,Mystery",4.2,32938,nm0443181,"nm0471392,nm1340000,nm0925482",Stephen Kay,1963,\N,"director,producer,writer","tt0208988,tt1124373,tt0758745,tt4236770",Boogeyman2005
"3,440",2005-02-04,The Wedding Date,"$15,000,000","$31,726,995","$47,175,038",2005,The Wedding Date2005,The Wedding Date2005,tt0372532,movie,The Wedding Date,The Wedding Date,0,2005,\N,90,"Comedy,Romance",6.1,57014,nm0453270,"nm1814871,nm1401416",Clare Kilner,\N,\N,"director,writer,producer","tt11198330,tt11041132,tt6156584,tt4604612",The Wedding Date2005
"2,209",2011-02-04,Sanctum,"$30,000,000","$23,209,310","$108,957,098",2011,Sanctum2011,Sanctum2011,tt0881320,movie,Sanctum,Sanctum,0,2011,\N,108,"Action,Adventure,Drama",5.9,57534,nm0340958,"nm2510763,nm1337757",Alister Grierson,\N,\N,"director,writer,editor","tt9772374,tt0881320,tt0481390,tt3275138",Sanctum2011
"3,311",2011-02-04,The Roommate,"$16,000,000","$37,300,107","$52,545,707",2011,The Roommate2011,The Roommate2011,tt1265990,movie,The Roommate,The Roommate,0,2011,\N,91,"Drama,Horror,Thriller",4.8,41963,nm0160157,nm1867458,Christian E. Christiansen,1972,\N,"director,producer,writer","tt1265990,tt0466500,tt1324062,tt3103598",The Roommate2011
"1,128",2016-02-04,The Monkey King 2 (西游记之孙悟空三打白骨精)…,"$60,000,000","$709,982","$194,058,503",2016,The Monkey King 2 (西游记之孙悟空三打白骨精)…2016,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"2,364",2016-02-04,Pride and Prejudice and Zombies,"$28,000,000","$10,907,291","$16,638,300",2016,Pride and Prejudice and Zombies2016,Pride and Prejudice and Zombies2016,tt1374989,movie,Pride and Prejudice and Zombies,Pride and Prejudice and Zombies,0,2016,\N,108,"Action,Comedy,Fantasy",5.8,61416,nm0824882,"nm0824882,nm0000807,nm0334381",Burr Steers,1965,\N,"director,actor,writer","tt0280760,tt0110912,tt1374989,tt0974661",Pride and Prejudice and Zombies2016
"3,705",2016-02-04,Robinson Crusoe,"$13,000,000","$8,005,586","$42,446,455",2016,Robinson Crusoe2016,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"5,780",1936-02-05,Modern Times,"$1,500,000","$163,245","$225,837",1936,Modern Times1936,Modern Times1936,tt0027977,movie,Modern Times,Modern Times,0,1936,\N,87,"Comedy,Drama,Romance",8.5,264625,nm0000122,nm0000122,Charles Chaplin,1889,1977,"writer,actor,director","tt0032553,tt0027977,tt0044837,tt0021749",Modern Times1936
"5,077",1953-02-05,Peter Pan,"$4,000,000","$87,400,000","$87,400,000",1953,Peter Pan1953,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"2,160",1993-02-05,Sommersby,"$30,000,000","$50,081,992","$140,081,992",1993,Sommersby1993,Sommersby1993,tt0108185,movie,Sommersby,Sommersby,0,1993,\N,114,"Drama,Mystery,Romance",6.3,23589,nm0000750,"nm0897045,nm0140643,nm0583292,nm0787289,nm0449576",Jon Amiel,1948,\N,"director,producer,writer","tt0112722,tt0298814,tt0137494,tt0100822",Sommersby1993
"3,681",1993-02-05,Loaded Weapon 1,"$13,000,000","$27,979,399","$27,979,399",1993,Loaded Weapon 11993,Loaded Weapon 11993,tt0107659,movie,Loaded Weapon 1,Loaded Weapon 1,0,1993,\N,84,"Action,Comedy,Crime",6.2,51820,nm0704164,"nm0390998,nm0854416,nm0704164",Gene Quintano,1946,\N,"writer,director,producer","tt0107659,tt0114576,tt0093756,tt0091777",Loaded Weapon 11993
"1,294",1999-02-05,Payback,"$50,000,000","$81,526,121","$161,626,121",1999,Payback1999,Payback1999,tt0120784,movie,Payback,Payback,0,1999,\N,100,"Action,Crime,Drama",7.1,147840,nm0001338,"nm0922799,nm0001338,nm0371249",Brian Helgeland,\N,\N,"director,writer,producer","tt7991508,tt3569230,tt0453562,tt0183790",Payback1999
"4,710",1999-02-05,Simply Irresistible,"$6,000,000","$4,398,989","$4,398,989",1999,Simply Irresistible1999,Simply Irresistible1999,tt0145893,movie,Simply Irresistible,Simply Irresistible,0,1999,\N,96,"Comedy,Drama,Fantasy",5.2,15095,nm0850516,nm0731287,Mark Tarlov,1952,2021,"producer,director","tt0112722,tt0085333,tt0111127,tt0120483",Simply Irresistible1999
"3,755",2004-02-05,Tae Guik Gi: The Brotherhood of War,"$12,500,000","$1,110,186","$69,720,496",2004,Tae Guik Gi: The Brotherhood of War2004,Tae Guk Gi: The Brotherhood of War2004,tt0386064,movie,Tae Guk Gi: The Brotherhood of War,Taegukgi hwinallimyeo,0,2004,\N,140,"Action,Drama,War",8.0,41392,nm0437625,"nm0437625,nm3719468,nm3719540",Kang Je-kyu,1962,\N,"writer,producer,director","tt0386064,tt0192657,tt0141122,tt1606384",Tae Guk Gi: The Brotherhood of War2004
"1,258",2010-02-05,From Paris With Love,"$52,000,000","$24,077,427","$53,139,168",2010,From Paris With Love2010,From Paris with Love2010,tt1179034,movie,From Paris with Love,From Paris with Love,0,2010,\N,92,"Action,Crime,Thriller",6.4,122523,nm0603628,"nm0367867,nm0000108",Pierre Morel,1964,\N,"camera_department,cinematographer,director","tt0414852,tt0936501,tt2515034,tt6850820",From Paris with Love2010
"2,476",2010-02-05,Dear John,"$25,000,000","$80,014,842","$142,033,509",2010,Dear John2010,Dear John2010,tt0989757,movie,Dear John,Dear John,0,2010,\N,108,"Drama,Romance,War",6.3,159374,nm0002120,"nm1956691,nm0817023",Lasse Hallström,1946,\N,"director,writer,editor","tt0108550,tt0241303,tt0089606,tt2980648",Dear John2010
"3,563",2010-02-05,San suk si gin,"$15,000,000",$0,"$2,013,340",2010,San suk si gin2010,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"4,309",2010-02-05,Red Riding: The Year of Our Lord 1974,"$9,000,000","$148,826","$148,826",2010,Red Riding: The Year of Our Lord 19742010,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"1,356",2016-02-05,Zoolander 2,"$50,000,000","$28,848,693","$55,348,693",2016,Zoolander 22016,Zoolander 22016,tt1608290,movie,Zoolander 2,Zoolander 2,0,2016,\N,101,"Action,Adventure,Comedy",4.7,77315,nm0001774,"nm0857620,nm0001774,nm0831557,nm0357453,nm0766153",Ben Stiller,1965,\N,"producer,actor,director","tt0942385,tt0196229,tt1608290,tt0359950",Zoolander 22016
"2,746",2016-02-05,"Hail, Caesar!","$22,000,000","$30,080,225","$64,220,196",2016,"Hail, Caesar!2016",,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"3,960",2016-02-05,Misconduct,"$11,000,000",$0,"$2,352,511",2016,Misconduct2016,Misconduct2016,tt3658772,movie,Misconduct,Misconduct,0,2016,\N,106,"Crime,Drama,Mystery",5.3,18118,nm0989941,"nm1899220,nm0556573",Shintaro Shimosawa,\N,\N,"producer,writer,director","tt11755740,tt9327706,tt3743822,tt3658772",Misconduct2016
663,2020-02-05,Birds of Prey (And the Fantabulous Emancipation…,"$82,000,000.00","$84,158,461.00","$201,005,552.00",2020,Birds of Prey (And the Fantabulous Emancipation…2020,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"5,240",2021-02-05,The Reckoning,"$3,500,000","$143,532","$465,177",2021,The Reckoning2021,The Reckoning2021,tt13885592,movie,The Reckoning,Die Heimsuchung,0,2021,\N,88,"Drama,Mystery,Thriller",6.8,1428,nm1357855,nm0923184,Stephan Rick,\N,\N,"director,writer,producer","tt1726252,tt14349032,tt5884784,tt13885592",The Reckoning2021
"5,504",2021-02-05,Malcolm & Marie,"$2,500,000",$0,$0,2021,Malcolm & Marie2021,Malcolm & Marie2021,tt12676326,movie,Malcolm & Marie,Malcolm & Marie,0,2021,\N,106,"Drama,Romance",6.6,41813,nm0506094,nm0506094,Sam Levinson,1985,\N,"writer,producer,director","tt8772296,tt14954666,tt6205872,tt12676326",Malcolm & Marie2021
"2,224",1998-02-06,The Replacement Killers,"$30,000,000","$19,035,741","$19,035,741",1998,The Replacement Killers1998,The Replacement Killers1998,tt0120008,movie,The Replacement Killers,The Replacement Killers,0,1998,\N,87,"Action,Crime,Thriller",6.1,30903,nm0298807,nm0003535,Antoine Fuqua,1965,\N,"producer,director,actor","tt12530246,tt2404435,tt0455944,tt1798684",The Replacement Killers1998
"2,333",2004-02-06,Miracle,"$28,000,000","$64,378,093","$64,474,705",2004,Miracle2004,Miracle2004,tt0349825,movie,Miracle,Miracle,0,2004,\N,135,"Biography,Drama,History",7.5,59973,nm0640334,nm1325865,Gavin O'Connor,1963,\N,"producer,director,writer","tt2140479,tt0482572,tt1291584,tt0161023",Miracle2004
"3,127",2004-02-06,Barbershop 2: Back in Business,"$18,000,000","$65,070,412","$65,842,412",2004,Barbershop 2: Back in Business2004,Barbershop 2: Back in Business2004,tt0337579,movie,Barbershop 2: Back in Business,Barbershop 2: Back in Business,0,2004,\N,106,"Comedy,Drama",5.7,16202,nm0838198,"nm0114197,nm1119609",Kevin Rodney Sullivan,\N,\N,"director,producer,writer","tt0120703,tt6439752,tt5555260,tt0337579",Barbershop 2: Back in Business2004
"3,169",2004-02-06,Catch That Kid,"$18,000,000","$16,703,799","$16,959,614",2004,Catch That Kid2004,Catch That Kid2004,tt0337917,movie,Catch That Kid,Catch That Kid,0,2004,\N,91,"Action,Adventure,Comedy",5.2,11106,nm0294505,"nm1064048,nm0943308,nm0517179,nm0104973,nm0351929",Bart Freundlich,1970,\N,"director,writer,producer","tt0119746,tt4623856,tt0427968,tt3502172",Catch That Kid2004
"3,546",2004-02-06,The Return,"$15,000,000","$501,752","$5,953,886",2004,The Return2004,The Return2003,tt0376968,movie,The Return,Vozvrashchenie,0,2003,\N,110,Drama,7.9,48043,nm1168657,"nm0596208,nm1436795",Andrey Zvyagintsev,1964,\N,"director,actor,writer","tt2802154,tt6304162,tt0376968,tt1925421",The Return2003
"5,099",2004-02-06,What the #$'! Do We Know,"$4,000,000","$10,941,801","$11,704,768",2004,What the #$'! Do We Know2004,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"6,432",2004-02-06,The Lost Skeleton of Cadavra,"$100,000","$110,536","$110,536",2004,The Lost Skeleton of Cadavra2004,The Lost Skeleton of Cadavra2001,tt0307109,movie,The Lost Skeleton of Cadavra,The Lost Skeleton of Cadavra,0,2001,\N,90,"Comedy,Horror,Sci-Fi",6.8,5157,nm1117507,nm1117507,Larry Blamire,\N,\N,"writer,director,actor","tt0307109,tt0486665,tt1199494,tt1245091",The Lost Skeleton of Cadavra2001
"1,022",2009-02-06,Coraline,"$60,000,000","$116,472,020","$167,222,848",2009,Coraline2009,Coraline2009,tt0327597,movie,Coraline,Coraline,0,2009,\N,100,"Animation,Drama,Family",7.8,275252,nm0783139,"nm0783139,nm0301274",Henry Selick,1952,\N,"director,writer,animation_department","tt0327597,tt0116683,tt0107688,tt5181830",Coraline2009
"1,613",2009-02-06,He's Just Not That Into You,"$40,000,000","$93,953,653","$181,053,657",2009,He's Just Not That Into You2009,He's Just Not That Into You2009,tt1001508,movie,He's Just Not That Into You,He's Just Not That Into You,0,2009,\N,129,"Comedy,Drama,Romance",6.4,184818,nm0477129,"nm0463359,nm0799050,nm1021163,nm0875710",Ken Kwapis,1957,\N,"director,producer,writer","tt4947608,tt1178665,tt3095080,tt1430615",He's Just Not That Into You2009
"1,810",2009-02-06,Push,"$38,000,000","$31,811,527","$49,678,401",2009,Push2009,Push2009,tt0465580,movie,Push,Push,0,2009,\N,111,"Action,Sci-Fi,Thriller",6.1,116597,nm0006476,nm0100027,Paul McGuigan,1963,\N,"director,producer","tt0425210,tt0324554,tt1976009,tt0122515",Push2009
"4,721",2009-02-06,Polytechnique,"$6,000,000","$1,418,304","$1,418,304",2009,Polytechnique2009,Polytechnique2009,tt1194238,movie,Polytechnique,Polytechnique,0,2009,\N,77,"Crime,Drama,History",7.2,19541,nm0898288,"nm1802530,nm0898288,nm1266316",Denis Villeneuve,1967,\N,"director,writer,producer","tt1160419,tt1856101,tt15239678,tt2543164",Polytechnique2009
548,2013-02-06,A Good Day to Die Hard,"$92,000,000.00","$67,349,198.00","$304,249,198.00",2013,A Good Day to Die Hard2013,A Good Day to Die Hard2013,tt1606378,movie,A Good Day to Die Hard,A Good Day to Die Hard,0,2013,\N,98,"Action,Thriller",5.2,216984,nm0601382,"nm0940790,nm0861636",John Moore,1970,\N,"camera_department,director,producer","tt0467197,tt0377062,tt0466909,tt0159273",A Good Day to Die Hard2013
"1,014",2014-02-06,The Lego Movie,"$60,000,000","$257,784,718","$467,576,428",2014,The Lego Movie2014,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"1,549",2014-02-06,The Interview,"$44,000,000","$6,105,175","$12,342,632",2014,The Interview2014,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
139,2015-02-06,Jupiter Ascending,"$179,000,000.00","$47,482,519.00","$181,982,519.00",2015,Jupiter Ascending2015,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"2,553",2015-02-06,Shaun the Sheep,"$25,000,000","$19,375,982","$101,850,986",2015,Shaun the Sheep2015,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"3,281",2015-02-06,"Mune, le gardien de la lune","$17,000,000",$0,"$14,534,046",2015,"Mune, le gardien de la lune2015",,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"5,406",2015-02-06,Enter the Dangerous Mind,"$3,000,000",$0,$0,2015,Enter the Dangerous Mind2015,,tt5774076,movie,,,0,2015,\N,\N,"Action,Drama,Mystery",7.2,7,nm6825011,nm6825011,G.M. Whiting,2000,\N,"writer,director,editor","tt5008786,tt5713846,tt6255554,tt5207964",
"5,556",2015-02-06,It Follows,"$2,000,000","$14,674,077","$23,236,296",2015,It Follows2015,It Follows2014,tt3235888,movie,It Follows,It Follows,0,2014,\N,100,"Horror,Mystery,Thriller",6.8,278917,nm1379002,nm1379002,David Robert Mitchell,1974,\N,"writer,director,producer","tt3235888,tt5691670,tt1174042,tt27165187",It Follows2014
"5,867",2018-02-06,Blood Feast,"$1,200,000","$8,708","$8,708",2018,Blood Feast2018,Blood Fest2018,tt7208564,movie,Blood Fest,Blood Fest,0,2018,\N,92,"Comedy,Horror",5.4,6807,nm1625382,nm1625382,Owen Egerton,\N,\N,"writer,actor,producer","tt7208564,tt8758086,tt4396584,tt2697770",Blood Fest2018
518,2019-02-06,The LEGO Movie 2: The Second Part,"$99,000,000.00","$105,806,508.00","$190,131,035.00",2019,The LEGO Movie 2: The Second Part2019,The Lego Movie 2: The Second Part2019,tt3513498,movie,The Lego Movie 2: The Second Part,The Lego Movie 2: The Second Part,0,2019,\N,107,"Action,Adventure,Animation",6.5,78920,nm0593610,"nm0520488,nm0588087,nm3821363,nm0796950,nm0795975,nm0004170,nm0277730,nm0551376",Mike Mitchell,1970,\N,"director,writer,actor","tt0892791,tt0892782,tt3513498,tt0194006",The Lego Movie 2: The Second Part2019
