budget,domestic_revenue,world_revenue,year,runtimeMinutes,averageRating,numVotes
30000000.0,16930884.0,32955399.0,2008,108.0,5.9,78868
12000000.0,303439.0,7203439.0,2008,106.0,7.2,7
8000000.0,109045.0,3270974.0,2008,95.0,5.9,33699
500000.0,32033.0,32033.0,2008,89.0,5.3,1272
100000000.0,23022309.0,103039258.0,2014,119.0,6.2,240708
4000000.0,17329487.0,21206861.0,2014,86.0,4.7,23904
4000000.0,9134.0,47552.0,2014,93.0,6.3,39897
55000000.0,50119408.0,93917124.0,2024,131.0,7.1,112438
35000000.0,1320043.0,1320043.0,1996,106.0,7.2,7
25000000.0,10039566.0,10039566.0,1996,105.0,6.2,8868
3500000.0,886410.0,886410.0,2000,106.0,7.2,7
50000000.0,31874869.0,56643267.0,2002,115.0,6.2,63504
5000000.0,241438208.0,374890034.0,2002,95.0,6.6,146658
25000000.0,60457138.0,96633833.0,2012,101.0,6.4,115083
12000000.0,0.0,1828400.0,2012,106.0,7.2,7
120000000.0,89107235.0,287916633.0,2013,124.0,7.0,560927
1500000.0,1165881.0,1541131.0,2013,101.0,5.2,32960
1250000.0,2850357.0,2940411.0,2013,106.0,7.2,7
1200000.0,2859955.0,2859955.0,2013,113.0,5.9,3403
6250000.0,0.0,13201162.0,2018,138.0,6.3,1536
10500000.0,59936321.0,71796856.0,1968,149.0,8.3,734164
8500000.0,51048435.0,51048857.0,1976,138.0,7.9,128536
12500000.0,7000000.0,21000000.0,1982,118.0,6.2,24598
5000000.0,12592907.0,12592907.0,1982,110.0,7.0,23100
6500000.0,24103594.0,24103594.0,1993,108.0,6.2,9393
40000000.0,28544120.0,28544120.0,1999,90.0,5.5,15181
6000.0,48482.0,240495.0,1999,69.0,7.4,103708
30000000.0,3517797.0,6460758.0,2003,118.0,5.3,56
110000000.0,50026353.0,76482461.0,2004,106.0,7.2,7
60000000.0,59623958.0,99823958.0,2004,122.0,6.9,356158
56000000.0,46213824.0,47856383.0,2004,86.0,6.3,110962
30000000.0,28165882.0,30089110.0,2004,111.0,5.9,42132
10000000.0,488872.0,42776032.0,2004,87.0,7.3,91056
85000000.0,155064265.0,359347833.0,2009,107.0,6.5,316859
20000000.0,60095852.0,60831067.0,2010,121.0,4.7,10417
9000000.0,70066.0,85527.0,2010,105.0,6.4,28143
6000000.0,115862.0,117796.0,2010,99.0,6.6,9563
6000000.0,13722.0,13722.0,2010,87.0,5.8,2495
4900000.0,276901.0,23347461.0,2010,99.0,7.2,40865
4000000.0,129078.0,38899792.0,2010,106.0,7.2,7
15000.0,115592.0,115592.0,2010,88.0,6.0,1475
10000000.0,15532137.0,30792024.0,2021,99.0,5.1,28815
4000000.0,38251425.0,38252270.0,1977,93.0,8.0,281106
1500000.0,5100000.0,55000000.0,1979,127.0,7.8,131013
25000000.0,25590119.0,39393111.0,2001,95.0,4.8,26532
15000000.0,14249005.0,14249005.0,2001,87.0,4.7,52198
10500000.0,11052958.0,14140402.0,2007,97.0,6.4,32874
21500000.0,16684352.0,74290305.0,2012,112.0,6.3,91468
12000000.0,91547205.0,113373764.0,2012,122.0,6.5,51037
12000000.0,5669081.0,10026255.0,2012,145.0,6.5,5393
12000000.0,793352.0,1200346.0,2012,103.0,5.2,3886
32000000.0,48795601.0,91444095.0,2018,106.0,7.2,7
13500000.0,30617396.0,31966740.0,2018,99.0,6.0,28697
4000000.0,9186156.0,9561231.0,2018,96.0,5.9,21937
11500000.0,57469179.0,57469850.0,1989,103.0,6.5,117695
40000000.0,14942422.0,14942422.0,1995,101.0,5.9,20472
62000000.0,77086030.0,127630030.0,2000,116.0,6.6,88581
15000000.0,27441122.0,27709625.0,2000,124.0,7.2,24873
14000000.0,5108820.0,12591270.0,2000,90.0,5.9,17807
14000000.0,5108820.0,12591270.0,2000,134.0,4.7,847
6000000.0,4859475.0,10619770.0,2000,106.0,7.2,7
60000000.0,36280697.0,78080697.0,2006,108.0,6.1,52909
50000000.0,46982632.0,94704227.0,2006,125.0,6.5,248650
17000000.0,7314027.0,16510971.0,2006,107.0,5.5,25329
1000000.0,884.0,884.0,2006,88.0,3.7,1153
125000000.0,210031325.0,629975898.0,2011,130.0,7.3,413237
90000000.0,8224288.0,10551417.0,2017,114.0,5.9,1299
5500000.0,28660.0,788191.0,2017,116.0,6.3,28139
2800000.0,3600146.0,3697729.0,2017,87.0,5.4,7159
32000000.0,5426772.0,5703197.0,2023,106.0,7.2,7
3200000.0,8000000.0,8000498.0,1962,123.0,8.1,83996
4700000.0,1705139.0,1705139.0,1988,113.0,6.6,8365
8000000.0,8864699.0,8864699.0,1994,110.0,6.3,1612
90000000.0,72708161.0,162753837.0,2005,128.0,6.4,111789
25000000.0,21835784.0,41921590.0,2005,107.0,6.6,71675
25000000.0,4008527.0,4049527.0,2005,95.0,4.4,3952
20000000.0,375474.0,375474.0,2005,101.0,6.1,3567
15500000.0,517262.0,517262.0,2005,99.0,6.3,1609
47000000.0,32011576.0,116773317.0,2009,106.0,7.2,7
80000000.0,19422319.0,86787530.0,2010,106.0,7.2,7
38000000.0,58709717.0,116809717.0,2011,120.0,6.9,121273
25000000.0,53345287.0,54160818.0,2011,106.0,4.8,8735
5200000.0,564489.0,11633427.0,2011,128.0,6.2,4207
4000000.0,33245.0,679482.0,2011,98.0,6.4,44581
1800000.0,638476.0,783733.0,2011,106.0,7.2,7
365000000.0,459005868.0,1395316979.0,2015,141.0,7.3,940064
250000000.0,408084349.0,1151899586.0,2016,106.0,7.2,7
35000000.0,4212494.0,11846010.0,2016,98.0,6.1,48079
25000000.0,32492859.0,52367022.0,2016,118.0,5.6,40627
6400000.0,0.0,9394401.0,2016,106.0,7.2,7
3200000.0,4267219.0,5526942.0,2016,103.0,6.3,14341
1500000.0,510957.0,510957.0,2016,93.0,4.1,338
40000000.0,27466489.0,103913405.0,2021,119.0,7.1,215917
4500000.0,1500000.0,1500000.0,1986,122.0,7.4,23602
15000000.0,9579068.0,9579068.0,1993,122.0,6.0,20273
33000000.0,8408835.0,8408835.0,1999,124.0,6.0,30742
20700000.0,2840417.0,2840417.0,1999,97.0,6.8,108823
14000000.0,6552255.0,6552255.0,1999,100.0,5.1,6982
8500000.0,14943582.0,17202854.0,1999,103.0,7.2,106849
60000000.0,77906816.0,130968579.0,2004,146.0,7.7,396842
37000000.0,57139723.0,97658712.0,2004,98.0,6.3,224323
8500000.0,298347.0,30298347.0,2004,135.0,7.0,4801
3400000.0,493905.0,493905.0,2004,103.0,5.9,142
500000.0,15433.0,44793168.0,2009,118.0,8.5,23151
35000000.0,37490007.0,75281179.0,2010,104.0,5.3,52971
25000000.0,23591432.0,29863840.0,2010,97.0,6.2,108245
10000000.0,128486.0,42226657.0,2010,106.0,7.2,7
40000000.0,83911193.0,194270103.0,2014,109.0,6.0,153680
28000000.0,20396829.0,73421224.0,2014,90.0,5.6,44564
400000000.0,858373000.0,2748242781.0,2019,106.0,7.2,7
5000000.0,1526697.0,1526697.0,1992,108.0,7.1,9968
13000000.0,27066941.0,27073371.0,1998,91.0,6.1,32022
6000000.0,11911200.0,58809149.0,1998,99.0,6.7,72442
1000000.0,2057193.0,2315026.0,1998,84.0,5.5,8760
60000000.0,31853584.0,38522450.0,2009,117.0,6.7,55714
25000000.0,23091010.0,32831707.0,2009,105.0,5.6,34482
25000000.0,6820.0,6820.0,2009,111.0,5.2,27291
20000000.0,68261644.0,73964713.0,2009,108.0,5.0,34735
18000000.0,315000.0,315000.0,2009,98.0,4.9,17657
200000000.0,408992272.0,1214630956.0,2013,130.0,7.1,914328
26000000.0,49875291.0,81275291.0,2013,129.0,6.4,233163
25000000.0,129115.0,129115.0,2015,106.0,7.2,7
20000000.0,6485961.0,17769299.0,2015,106.0,7.3,24426
1900000.0,478595.0,478595.0,2015,89.0,6.6,2148
20000000.0,587470.0,43888531.0,2017,106.0,7.2,7
18000000.0,1305114.0,1305114.0,1986,115.0,5.7,6174
90000000.0,47546796.0,120100000.0,1997,104.0,5.5,83421
28000000.0,52131264.0,82119036.0,2003,90.0,7.3,273356
20000000.0,121972.0,5694213.0,2003,100.0,5.4,11854
17500000.0,325491.0,325491.0,2003,116.0,5.9,5886
15000000.0,12212417.0,12970401.0,2003,97.0,6.6,35681
15000000.0,220944.0,240025.0,2003,106.0,7.2,7
4000000.0,3816594.0,4188034.0,2003,96.0,2.9,3954
30000000.0,60494212.0,64170447.0,2008,99.0,6.0,47913
